dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_uniform.data,1,1,2,0.056563500,2,1,1,100000,500000,0,0,500000,0,6238072747940578789,800340,800340,0,119517440,119517440,0,106669,6669,100000,0,99830,7680320,0,48529408,48545792,0.002648667,0.043546916,0.000000292,0.046195875
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_uniform.data,1,2,4,0.049080666,4,1,1,100000,500000,0,0,500000,0,6238072747940578789,354378,354378,0,55282968,55282968,0,106669,6669,100000,42126,204685,9365360,1685040,45367296,45367296,0.002633625,0.035714625,0.000166375,0.038514625
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_uniform.data,1,3,0,0.159551084,0,1,1,100000,500000,0,0,500000,0,6238072747940578789,3000000,3000000,0,448000000,448000000,0,106669,6669,100000,0,0,7680320,0,75612160,75644928,0.002668917,0.141375250,0.000320875,0.144365042
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_uniform.data,1,4,8,0.041263459,8,1,1,100000,500000,0,0,500000,0,6238072747940578789,40680,40680,0,6780000,6780000,0,106669,6669,100000,81420,438980,16148000,8467680,45547520,45563904,0.002635917,0.028675583,0.000000500,0.031312000
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_hot.data,1,1,4,0.041000167,4,1,1,100000,500000,0,0,500000,0,6238072747940578789,540012,540012,0,84241872,84241872,0,106669,6669,100000,1428,49990,7737440,57120,41287680,41320448,0.002640916,0.029343542,0.000016208,0.032000666
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_hot.data,1,2,8,0.036176250,8,1,1,100000,500000,0,0,500000,0,6238072747940578789,299826,299826,0,49971000,49971000,0,106669,6669,100000,1463,50261,7832472,152152,38141952,38174720,0.002679292,0.024013875,0.000046458,0.026739625
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_hot.data,1,3,2,0.048157833,2,1,1,100000,500000,0,0,500000,0,6238072747940578789,908454,908454,0,135662464,135662464,0,106669,6669,100000,0,45773,7680320,0,54902784,54935552,0.002621584,0.035487667,0.000061708,0.038170959
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_hot.data,1,4,0,0.117353334,0,1,1,100000,500000,0,0,500000,0,6238072747940578789,3000000,3000000,0,448000000,448000000,0,106669,6669,100000,0,0,7680320,0,75956224,75988992,0.002653791,0.098706375,0.000057875,0.101418041
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_lookup90.data,1,1,8,0.041288417,8,1,1,100000,500000,450339,0,49661,0,17754602664840630411,0,0,0,0,0,0,106669,6669,100000,1385,49661,7824360,144040,33488896,33521664,0.003068833,0.027147291,0.000000208,0.030216332
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_lookup90.data,1,2,0,0.029379042,0,1,1,100000,500000,450339,0,49661,0,11241220775813971336,297857,297857,0,44489280,44489280,0,106669,6669,100000,0,0,7680320,0,34390016,34422784,0.002861542,0.016736750,0.000000167,0.019598459
