dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,1,1,2,0.167530625,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,486066,486066,0,82946304,82946304,0,1066669,66669,1000000,0,756967,76800192,0,153731072,153747456,0.026574125,0.117335750,0.000138000,0.144047875
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,1,2,4,0.145951375,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,22212,22212,0,3938800,3938800,0,1066669,66669,1000000,76700,981490,79868192,3068000,146161664,146178048,0.026042500,0.100917541,0.000036917,0.126996958
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,1,3,0,0.528002459,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,6000000,6000000,0,1023912576,1023912576,0,1066669,66669,1000000,0,0,76800192,0,194625536,194658304,0.025940166,0.460580459,0.000296625,0.486817250
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,1,4,8,0.146456417,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,24,24,0,4512,4512,0,1066669,66669,1000000,80385,999964,85160232,8360040,149307392,149323776,0.026719167,0.099730792,0.000000208,0.126450167
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,2,1,4,0.145132542,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,22212,22212,0,3938800,3938800,0,1066669,66669,1000000,76700,981490,79868192,3068000,146243584,146259968,0.026069292,0.099958958,0.000011708,0.126039958
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,2,2,8,0.145530792,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,24,24,0,4512,4512,0,1066669,66669,1000000,80385,999964,85160232,8360040,149307392,149323776,0.026213541,0.099011209,0.000017917,0.125242667
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,2,3,2,0.166817959,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,486066,486066,0,82946304,82946304,0,1066669,66669,1000000,0,756967,76800192,0,153976832,153993216,0.026261375,0.116989708,0.000033041,0.143284124
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,2,4,0,0.529663500,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,6000000,6000000,0,1023912576,1023912576,0,1066669,66669,1000000,0,0,76800192,0,194822144,194854912,0.026380083,0.462205875,0.000120917,0.488706875
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,3,1,8,0.145251792,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,24,24,0,4512,4512,0,1066669,66669,1000000,80385,999964,85160232,8360040,149307392,149323776,0.026173250,0.099168125,0.000000167,0.125341542
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,3,2,0,0.526283625,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,6000000,6000000,0,1023912576,1023912576,0,1066669,66669,1000000,0,0,76800192,0,194756608,194789376,0.026086125,0.459007084,0.000181000,0.485274209
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,3,3,4,0.147848542,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,22212,22212,0,3938800,3938800,0,1066669,66669,1000000,76700,981490,79868192,3068000,146243584,146259968,0.026181584,0.102746083,0.000010208,0.128937875
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,3,4,2,0.168971833,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,486066,486066,0,82946304,82946304,0,1066669,66669,1000000,0,756967,76800192,0,153747456,153763840,0.026276500,0.118989791,0.000134084,0.145400375
