dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,1,1,2,0.061531375,2,1,1,100000,500000,0,0,500000,0,6238072747940578789,856200,856200,0,127859200,127859200,0,106669,6669,100000,0,71900,7680320,0,47874048,47874048,0.002665583,0.048002416,0.000000250,0.050668249
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,1,2,4,0.052473542,4,1,1,100000,500000,0,0,500000,0,6238072747940578789,470550,470550,0,73405800,73405800,0,106669,6669,100000,13281,107875,8211560,531240,42549248,42565632,0.002627000,0.039465583,0.000071167,0.042163750
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,1,3,0,0.147307042,0,1,1,100000,500000,0,0,500000,0,6238072747940578789,3000000,3000000,0,448000000,448000000,0,106669,6669,100000,0,0,7680320,0,75612160,75644928,0.002742958,0.127208458,0.000045208,0.129996624
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,1,4,8,0.047424458,8,1,1,100000,500000,0,0,500000,0,6238072747940578789,239082,239082,0,39847000,39847000,0,106669,6669,100000,18642,141377,9619088,1938768,40009728,40026112,0.002662458,0.035289459,0.000004708,0.037956625
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,1,1,4,0.190095166,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,824142,824142,0,146140040,146140040,0,1066669,66669,1000000,23177,313215,77727272,927080,150650880,150667264,0.026908667,0.141853584,0.000142000,0.168904251
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,1,2,8,0.186643667,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,421044,421044,0,79152560,79152560,0,1066669,66669,1000000,31884,368434,80116128,3315936,149667840,149684224,0.027175291,0.138139625,0.000053500,0.165368416
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,1,3,2,0.218488375,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1499322,1499322,0,255869056,255869056,0,1066669,66669,1000000,0,250339,76800192,0,155697152,155713536,0.026824375,0.165819250,0.000186875,0.192830500
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,1,4,0,0.508146541,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,6000000,6000000,0,1023933440,1023933440,0,1066669,66669,1000000,0,0,76800192,0,195346432,195379200,0.030038125,0.435120208,0.000134209,0.465292542
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,2,1,8,0.190938750,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,421044,421044,0,79152560,79152560,0,1066669,66669,1000000,31884,368434,80116128,3315936,149667840,149684224,0.026713459,0.143973500,0.000056875,0.170743834
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,2,2,0,0.447561667,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,6000000,6000000,0,1023933440,1023933440,0,1066669,66669,1000000,0,0,76800192,0,196001792,196034560,0.026676375,0.381430209,0.000265250,0.408371834
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,2,3,4,0.191874583,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,824142,824142,0,146140040,146140040,0,1066669,66669,1000000,23177,313215,77727272,927080,150667264,150683648,0.026910000,0.142712125,0.000080000,0.169702125
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,2,4,2,0.205060833,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1499322,1499322,0,255869056,255869056,0,1066669,66669,1000000,0,250339,76800192,0,155664384,155680768,0.026661792,0.153808625,0.000116833,0.180587250
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,2,1,4,0.052784417,4,1,1,100000,500000,0,0,500000,0,6238072747940578789,470550,470550,0,73405800,73405800,0,106669,6669,100000,13281,107875,8211560,531240,42549248,42565632,0.002713250,0.039990291,0.000018959,0.042722500
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,2,2,8,0.046480084,8,1,1,100000,500000,0,0,500000,0,6238072747940578789,239082,239082,0,39847000,39847000,0,106669,6669,100000,18642,141377,9619088,1938768,40026112,40042496,0.002622416,0.034162083,0.000001792,0.036786291
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,2,3,2,0.057599416,2,1,1,100000,500000,0,0,500000,0,6238072747940578789,856200,856200,0,127859200,127859200,0,106669,6669,100000,0,71900,7680320,0,47742976,47759360,0.002681500,0.044116417,0.000182667,0.046980584
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,2,4,0,0.147286500,0,1,1,100000,500000,0,0,500000,0,6238072747940578789,3000000,3000000,0,448000000,448000000,0,106669,6669,100000,0,0,7680320,0,75612160,75644928,0.002815833,0.127166209,0.000039416,0.130021458
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,3,1,8,0.047399667,8,1,1,100000,500000,0,0,500000,0,6238072747940578789,239082,239082,0,39847000,39847000,0,106669,6669,100000,18642,141377,9619088,1938768,39927808,39944192,0.002705000,0.034687959,0.000057375,0.037450334
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,3,2,0,0.151230875,0,1,1,100000,500000,0,0,500000,0,6238072747940578789,3000000,3000000,0,448000000,448000000,0,106669,6669,100000,0,0,7680320,0,75612160,75644928,0.002702458,0.131057084,0.000046375,0.133805917
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,3,3,4,0.051111875,4,1,1,100000,500000,0,0,500000,0,6238072747940578789,470550,470550,0,73405800,73405800,0,106669,6669,100000,13281,107875,8211560,531240,42483712,42483712,0.002722500,0.038392084,0.000085250,0.041199834
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,3,4,2,0.058376833,2,1,1,100000,500000,0,0,500000,0,6238072747940578789,856200,856200,0,127859200,127859200,0,106669,6669,100000,0,71900,7680320,0,47742976,47742976,0.002647333,0.044780333,0.000156292,0.047583958
