dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds
/private/tmp/radix_uniform.data,1,1,2,0.009090000,2,1,1,10000,50000,0,0,50000,0,6238072747940578789,66753,66753,0,9397952,9397952,0,10668,668,10000,0,9938,768128,0,22183936,22200320,0.000895334,0.004663000,0.000177708,0.005736042
/private/tmp/radix_uniform.data,1,2,4,0.007658250,4,1,1,10000,50000,0,0,50000,0,6238072747940578789,29458,29458,0,4383048,4383048,0,10668,668,10000,4236,20535,937568,169440,17580032,17596416,0.000842417,0.003156083,0.000297875,0.004296375
/private/tmp/radix_uniform.data,1,3,0,0.018059625,0,1,1,10000,50000,0,0,50000,0,6238072747940578789,249930,249930,0,35186560,35186560,0,10668,668,10000,0,0,768128,0,45432832,45449216,0.000847375,0.012706125,0.001025042,0.014578542
/private/tmp/radix_uniform.data,1,4,8,0.006376791,8,1,1,10000,50000,0,0,50000,0,6238072747940578789,3394,3394,0,548440,548440,0,10668,668,10000,8149,43889,1615624,847496,14057472,14073856,0.000815625,0.002330542,0.000054583,0.003200750
/private/tmp/radix_hot.data,1,1,4,0.007485083,4,1,1,10000,50000,0,0,50000,0,6238072747940578789,44815,44815,0,6668472,6668472,0,10668,668,10000,193,5185,775848,7720,18628608,18644992,0.000831333,0.003633750,0.000042042,0.004507125
/private/tmp/radix_hot.data,1,2,8,0.006543041,8,1,1,10000,50000,0,0,50000,0,6238072747940578789,24790,24790,0,4006064,4006064,0,10668,668,10000,214,5378,790384,22256,16072704,16089088,0.000839000,0.002668583,0.000091084,0.003598667
/private/tmp/radix_hot.data,1,3,2,0.008460000,2,1,1,10000,50000,0,0,50000,0,6238072747940578789,75610,75610,0,10645888,10645888,0,10668,668,10000,0,4634,768128,0,21250048,21266432,0.000803084,0.004234541,0.000365417,0.005403042
/private/tmp/radix_hot.data,1,4,0,0.016248000,0,1,1,10000,50000,0,0,50000,0,6238072747940578789,249994,249994,0,35198848,35198848,0,10668,668,10000,0,0,768128,0,45350912,45367296,0.000861625,0.010784625,0.001031083,0.012677333
/private/tmp/radix_lookup90.data,1,1,8,0.005598417,8,1,1,10000,50000,45022,0,4978,0,11795602346414332589,0,0,0,0,0,0,10668,668,10000,152,4978,783936,15808,12337152,12369920,0.000836917,0.001614250,0.000000125,0.002451292
/private/tmp/radix_lookup90.data,1,2,0,0.004946667,0,1,1,10000,50000,45022,0,4978,0,12734204718389771028,24883,24883,0,3503168,3503168,0,10668,668,10000,0,0,768128,0,12746752,12779520,0.000830500,0.001269000,0.000000209,0.002099709
/private/tmp/radix_lookup90.data,1,3,4,0.005130167,4,1,1,10000,50000,45022,0,4978,0,6483981798192528849,5,5,0,744,744,0,10668,668,10000,151,4973,774168,6040,12353536,12386304,0.000812833,0.001588250,0.000000125,0.002401208
/private/tmp/radix_lookup90.data,1,4,2,0.005222750,2,1,1,10000,50000,45022,0,4978,0,389797826557747,760,760,0,107008,107008,0,10668,668,10000,0,4522,768128,0,12419072,12451840,0.000831500,0.001646291,0.000000167,0.002477958
/private/tmp/radix_long.data,1,1,0,0.065252709,0,1,1,10000,250000,0,0,250000,0,6238072747940578789,1249596,1249596,0,175922432,175922432,0,10668,668,10000,0,0,768128,0,50692096,50724864,0.000829041,0.058425083,0.001320792,0.060574916
/private/tmp/radix_long.data,1,2,2,0.030520125,2,1,1,10000,250000,0,0,250000,0,6238072747940578789,399880,399880,0,56296448,56296448,0,10668,668,10000,0,9994,768128,0,28901376,28934144,0.000814416,0.024311125,0.000827542,0.025953083
/private/tmp/radix_long.data,1,3,8,0.022928625,8,1,1,10000,250000,0,0,250000,0,6238072747940578789,116454,116454,0,18817872,18817872,0,10668,668,10000,6761,40318,1471272,703144,23052288,23085056,0.000861958,0.017717417,0.000000416,0.018579791
/private/tmp/radix_long.data,1,4,4,0.026371208,4,1,1,10000,250000,0,0,250000,0,6238072747940578789,230065,230065,0,34230432,34230432,0,10668,668,10000,3946,19860,925968,157840,24936448,24969216,0.000807834,0.021051416,0.000017375,0.021876625
/private/tmp/radix_hot.data,2,1,8,0.006648833,8,1,1,10000,50000,0,0,50000,0,6238072747940578789,24790,24790,0,4006064,4006064,0,10668,668,10000,214,5378,790384,22256,16089088,16105472,0.000786792,0.002789458,0.000093208,0.003669458
/private/tmp/radix_hot.data,2,2,0,0.017286667,0,1,1,10000,50000,0,0,50000,0,6238072747940578789,249994,249994,0,35198848,35198848,0,10668,668,10000,0,0,768128,0,45301760,45318144,0.000793125,0.011684084,0.001286166,0.013763375
/private/tmp/radix_hot.data,2,3,4,0.008060958,4,1,1,10000,50000,0,0,50000,0,6238072747940578789,44815,44815,0,6668472,6668472,0,10668,668,10000,193,5185,775848,7720,18612224,18612224,0.000826542,0.003741625,0.000097458,0.004665625
/private/tmp/radix_hot.data,2,4,2,0.008596750,2,1,1,10000,50000,0,0,50000,0,6238072747940578789,75610,75610,0,10645888,10645888,0,10668,668,10000,0,4634,768128,0,20332544,20348928,0.000817375,0.004197791,0.000434667,0.005449833
/private/tmp/radix_lookup90.data,2,1,0,0.005176834,0,1,1,10000,50000,45022,0,4978,0,10200760068192601537,24882,24882,0,3503104,3503104,0,10668,668,10000,0,0,768128,0,12664832,12697600,0.000855667,0.001262666,0.000000167,0.002118500
/private/tmp/radix_lookup90.data,2,2,2,0.005459208,2,1,1,10000,50000,45022,0,4978,0,13956884244044522787,760,760,0,107008,107008,0,10668,668,10000,0,4522,768128,0,12419072,12451840,0.000816000,0.001642458,0.000000084,0.002458542
/private/tmp/radix_lookup90.data,2,3,8,0.005283041,8,1,1,10000,50000,45022,0,4978,0,16787425356881786818,0,0,0,0,0,0,10668,668,10000,152,4978,783936,15808,12353536,12386304,0.000840042,0.001701750,0.000000125,0.002541917
/private/tmp/radix_lookup90.data,2,4,4,0.005302917,4,1,1,10000,50000,45022,0,4978,0,8817783068003261052,5,5,0,744,744,0,10668,668,10000,151,4973,774168,6040,12369920,12402688,0.000809542,0.001609958,0.000000125,0.002419625
/private/tmp/radix_long.data,2,1,2,0.030331333,2,1,1,10000,250000,0,0,250000,0,6238072747940578789,399880,399880,0,56296448,56296448,0,10668,668,10000,0,9994,768128,0,28721152,28753920,0.000814917,0.025023250,0.000279417,0.026117584
/private/tmp/radix_long.data,2,2,4,0.026146000,4,1,1,10000,250000,0,0,250000,0,6238072747940578789,230065,230065,0,34230432,34230432,0,10668,668,10000,3946,19860,925968,157840,25100288,25133056,0.000850416,0.020694292,0.000177333,0.021722041
/private/tmp/radix_long.data,2,3,0,0.066333500,0,1,1,10000,250000,0,0,250000,0,6238072747940578789,1249596,1249596,0,175922432,175922432,0,10668,668,10000,0,0,768128,0,50888704,50921472,0.000767208,0.059549917,0.001333084,0.061650209
/private/tmp/radix_long.data,2,4,8,0.022696667,8,1,1,10000,250000,0,0,250000,0,6238072747940578789,116454,116454,0,18817872,18817872,0,10668,668,10000,6761,40318,1471272,703144,23330816,23363584,0.000849834,0.017263000,0.000184875,0.018297709
/private/tmp/radix_uniform.data,2,1,4,0.007679083,4,1,1,10000,50000,0,0,50000,0,6238072747940578789,29458,29458,0,4383048,4383048,0,10668,668,10000,4236,20535,937568,169440,18153472,18169856,0.000844208,0.003284292,0.000340875,0.004469375
/private/tmp/radix_uniform.data,2,2,8,0.006295125,8,1,1,10000,50000,0,0,50000,0,6238072747940578789,3394,3394,0,548440,548440,0,10668,668,10000,8149,43889,1615624,847496,13844480,13844480,0.000795833,0.002451500,0.000018167,0.003265500
/private/tmp/radix_uniform.data,2,3,2,0.008959416,2,1,1,10000,50000,0,0,50000,0,6238072747940578789,66753,66753,0,9397952,9397952,0,10668,668,10000,0,9938,768128,0,21004288,21020672,0.000830417,0.004530625,0.000280958,0.005642000
/private/tmp/radix_uniform.data,2,4,0,0.018261416,0,1,1,10000,50000,0,0,50000,0,6238072747940578789,249930,249930,0,35186560,35186560,0,10668,668,10000,0,0,768128,0,45301760,45301760,0.000819875,0.012783500,0.001181125,0.014784500
/private/tmp/radix_lookup90.data,3,1,2,0.005637167,2,1,1,10000,50000,45022,0,4978,0,6412976854468079798,760,760,0,107008,107008,0,10668,668,10000,0,4522,768128,0,12435456,12468224,0.000861625,0.001671709,0.000000083,0.002533417
/private/tmp/radix_lookup90.data,3,2,4,0.005351083,4,1,1,10000,50000,45022,0,4978,0,14653692325071818863,5,5,0,744,744,0,10668,668,10000,151,4973,774168,6040,12369920,12402688,0.000810500,0.001628250,0.000000125,0.002438875
/private/tmp/radix_lookup90.data,3,3,0,0.004917708,0,1,1,10000,50000,45022,0,4978,0,18343250163698667944,24882,24882,0,3503104,3503104,0,10668,668,10000,0,0,768128,0,12795904,12828672,0.000835042,0.001261292,0.000000125,0.002096459
/private/tmp/radix_lookup90.data,3,4,8,0.005033458,8,1,1,10000,50000,45022,0,4978,0,16787425356881786818,0,0,0,0,0,0,10668,668,10000,152,4978,783936,15808,12337152,12369920,0.000814417,0.001602250,0.000000125,0.002416792
/private/tmp/radix_long.data,3,1,4,0.025962291,4,1,1,10000,250000,0,0,250000,0,6238072747940578789,230065,230065,0,34230432,34230432,0,10668,668,10000,3946,19860,925968,157840,24920064,24952832,0.000841625,0.020498292,0.000433625,0.021773542
/private/tmp/radix_long.data,3,2,8,0.023227500,8,1,1,10000,250000,0,0,250000,0,6238072747940578789,116454,116454,0,18817872,18817872,0,10668,668,10000,6761,40318,1471272,703144,23265280,23298048,0.000934458,0.017287208,0.000446334,0.018668000
/private/tmp/radix_long.data,3,3,2,0.031058416,2,1,1,10000,250000,0,0,250000,0,6238072747940578789,399880,399880,0,56296448,56296448,0,10668,668,10000,0,9994,768128,0,28803072,28835840,0.000779084,0.025351917,0.000190708,0.026321709
/private/tmp/radix_long.data,3,4,0,0.065732083,0,1,1,10000,250000,0,0,250000,0,6238072747940578789,1249596,1249596,0,175922432,175922432,0,10668,668,10000,0,0,768128,0,50872320,50905088,0.000856459,0.058740542,0.001345792,0.060942793
/private/tmp/radix_uniform.data,3,1,8,0.006400791,8,1,1,10000,50000,0,0,50000,0,6238072747940578789,3394,3394,0,548440,548440,0,10668,668,10000,8149,43889,1615624,847496,14057472,14057472,0.000818375,0.002306000,0.000056292,0.003180667
/private/tmp/radix_uniform.data,3,2,0,0.018498584,0,1,1,10000,50000,0,0,50000,0,6238072747940578789,249930,249930,0,35186560,35186560,0,10668,668,10000,0,0,768128,0,45465600,45465600,0.000813250,0.013044834,0.001265625,0.015123709
/private/tmp/radix_uniform.data,3,3,4,0.007756292,4,1,1,10000,50000,0,0,50000,0,6238072747940578789,29458,29458,0,4383048,4383048,0,10668,668,10000,4236,20535,937568,169440,17989632,18006016,0.000877834,0.003215542,0.000416125,0.004509501
/private/tmp/radix_uniform.data,3,4,2,0.008950334,2,1,1,10000,50000,0,0,50000,0,6238072747940578789,66753,66753,0,9397952,9397952,0,10668,668,10000,0,9938,768128,0,22118400,22118400,0.000870584,0.004331459,0.000574583,0.005776626
/private/tmp/radix_hot.data,3,1,0,0.016527875,0,1,1,10000,50000,0,0,50000,0,6238072747940578789,249994,249994,0,35198848,35198848,0,10668,668,10000,0,0,768128,0,45334528,45334528,0.000840000,0.011252917,0.001047125,0.013140042
/private/tmp/radix_hot.data,3,2,2,0.008638958,2,1,1,10000,50000,0,0,50000,0,6238072747940578789,75610,75610,0,10645888,10645888,0,10668,668,10000,0,4634,768128,0,19988480,20004864,0.000842958,0.004140791,0.000565708,0.005549457
