dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_uniform.data,1,1,2,0.066426709,2,1,1,100000,500000,0,0,500000,0,6238072747940578789,533560,533560,0,580513280,580513280,0,100394,394,100000,0,99830,7230080,0,94109696,94142464,0.001719750,0.054004375,0.000180791,0.055904916
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_uniform.data,1,2,4,0.047170417,4,1,1,100000,500000,0,0,500000,0,6238072747940578789,236252,236252,0,259404696,259404696,0,100394,394,100000,42126,204685,8915120,1685040,75005952,75022336,0.001716750,0.035753334,0.000064791,0.037534875
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_uniform.data,1,3,0,0.165170375,0,1,1,100000,500000,0,0,500000,0,6238072747940578789,2000000,2000000,0,2176000000,2176000000,0,100394,394,100000,0,0,7230080,0,213614592,213647360,0.001717292,0.152169750,0.000003416,0.153890458
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_uniform.data,1,4,8,0.032269875,8,1,1,100000,500000,0,0,500000,0,6238072747940578789,27120,27120,0,30211680,30211680,0,100394,394,100000,81420,438980,15697760,8467680,52150272,52166656,0.001754334,0.020727584,0.000037542,0.022519460
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_hot.data,1,1,4,0.044263375,4,1,1,100000,500000,0,0,500000,0,6238072747940578789,360008,360008,0,395288784,395288784,0,100394,394,100000,1428,49990,7287200,57120,65470464,65503232,0.001755958,0.032903333,0.000011750,0.034671041
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_hot.data,1,2,8,0.034523708,8,1,1,100000,500000,0,0,500000,0,6238072747940578789,199884,199884,0,222670776,222670776,0,100394,394,100000,1463,50261,7382232,152152,51298304,51314688,0.001686583,0.023831958,0.000010833,0.025529374
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_hot.data,1,3,2,0.058961292,2,1,1,100000,500000,0,0,500000,0,6238072747940578789,605636,605636,0,658931968,658931968,0,100394,394,100000,0,45773,7230080,0,88129536,88145920,0.001721625,0.047449916,0.000000708,0.049172249
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_hot.data,1,4,0,0.157579625,0,1,1,100000,500000,0,0,500000,0,6238072747940578789,2000000,2000000,0,2176000000,2176000000,0,100394,394,100000,0,0,7230080,0,213745664,213778432,0.001734500,0.144085792,0.000013208,0.145833500
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_lookup90.data,1,1,8,0.023214958,8,1,1,100000,500000,450339,0,49661,0,8192591828698229859,0,0,0,0,0,0,100394,394,100000,1385,49661,7374120,144040,32800768,32833536,0.001741000,0.012215417,0.000000500,0.013956917
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_lookup90.data,1,2,0,0.035010167,0,1,1,100000,500000,450339,0,49661,0,7546487392895723713,198644,198644,0,216124672,216124672,0,100394,394,100000,0,0,7230080,0,223461376,223461376,0.001712542,0.021978042,0.000306333,0.023996917
