dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,1,1,2,0.142482458,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,324044,324044,0,362929280,362929280,0,1003924,3924,1000000,0,756967,72285568,0,172277760,172294144,0.016313041,0.106487209,0.000128833,0.122929083
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,1,2,4,0.106870625,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,14808,14808,0,16733040,16733040,0,1003924,3924,1000000,76700,981490,75353568,3068000,139968512,139984896,0.016683625,0.071095333,0.000024167,0.087803125
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,1,3,0,0.537292625,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,4000000,4000000,0,4480000000,4480000000,0,1003924,3924,1000000,0,0,72285568,0,358367232,358400000,0.016316583,0.493549708,0.000247875,0.510114166
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,1,4,8,0.106671500,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,16,16,0,18336,18336,0,1003924,3924,1000000,80385,999964,80645608,8360040,142475264,142491648,0.016105667,0.070741500,0.000000041,0.086847208
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,2,1,4,0.106267083,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,14808,14808,0,16733040,16733040,0,1003924,3924,1000000,76700,981490,75353568,3068000,140017664,140034048,0.016387917,0.071245291,0.000040292,0.087673500
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,2,2,8,0.106170083,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,16,16,0,18336,18336,0,1003924,3924,1000000,80385,999964,80645608,8360040,142475264,142491648,0.016167041,0.070234833,0.000000167,0.086402041
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,2,3,2,0.142183208,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,324044,324044,0,362929280,362929280,0,1003924,3924,1000000,0,756967,72285568,0,172146688,172163072,0.016490708,0.105898333,0.000127542,0.122516583
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,2,4,0,0.535290167,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,4000000,4000000,0,4480000000,4480000000,0,1003924,3924,1000000,0,0,72285568,0,358367232,358400000,0.016560375,0.490850625,0.000629791,0.508040791
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,3,1,8,0.107032959,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,16,16,0,18336,18336,0,1003924,3924,1000000,80385,999964,80645608,8360040,142475264,142475264,0.016717125,0.070433000,0.000000791,0.087150916
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,3,2,0,0.539316458,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,4000000,4000000,0,4480000000,4480000000,0,1003924,3924,1000000,0,0,72285568,0,358367232,358400000,0.016233042,0.495249833,0.000396584,0.511879459
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,3,3,4,0.110486250,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,14808,14808,0,16733040,16733040,0,1003924,3924,1000000,76700,981490,75353568,3068000,139968512,139984896,0.016295416,0.073087583,0.000026792,0.089409791
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_uniform.data,3,4,2,0.144969000,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,324044,324044,0,362929280,362929280,0,1003924,3924,1000000,0,756967,72285568,0,172081152,172097536,0.017095958,0.107294041,0.000085084,0.124475083
