dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,1,1,2,0.070893542,2,1,1,100000,500000,0,0,500000,0,6238072747940578789,570800,570800,0,621030400,621030400,0,100394,394,100000,0,71900,7230080,0,89899008,89899008,0.001774709,0.058224958,0.000299833,0.060299500
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,1,2,4,0.054155625,4,1,1,100000,500000,0,0,500000,0,6238072747940578789,313700,313700,0,344442600,344442600,0,100394,394,100000,13281,107875,7761320,531240,66060288,66076672,0.001810209,0.042112875,0.000109667,0.044032751
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,1,3,0,0.170488250,0,1,1,100000,500000,0,0,500000,0,6238072747940578789,2000000,2000000,0,2176000000,2176000000,0,100394,394,100000,0,0,7230080,0,213352448,213385216,0.001811250,0.154834375,0.001530167,0.158175792
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,1,4,8,0.043721167,8,1,1,100000,500000,0,0,500000,0,6238072747940578789,159388,159388,0,177558232,177558232,0,100394,394,100000,18642,141377,9168848,1938768,52215808,52232192,0.001840625,0.032145167,0.000042791,0.034028583
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,1,1,4,0.173101250,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,549428,549428,0,620853640,620853640,0,1003924,3924,1000000,23177,313215,73212648,927080,164462592,164478976,0.016860500,0.136735584,0.000070250,0.153666334
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,1,2,8,0.151371500,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,280696,280696,0,321677616,321677616,0,1003924,3924,1000000,31884,368434,75601504,3315936,152666112,152666112,0.017193000,0.114714250,0.000007250,0.131914500
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,1,3,2,0.211043459,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,999548,999548,0,1119493760,1119493760,0,1003924,3924,1000000,0,250339,72285568,0,187252736,187252736,0.016408625,0.174197333,0.000148417,0.190754375
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,1,4,0,0.488314167,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,4000000,4000000,0,4480000000,4480000000,0,1003924,3924,1000000,0,0,72285568,0,358367232,358400000,0.016773458,0.443950041,0.000301459,0.461024958
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,2,1,8,0.156282208,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,280696,280696,0,321677616,321677616,0,1003924,3924,1000000,31884,368434,75601504,3315936,152649728,152666112,0.017002542,0.119612709,0.000043958,0.136659209
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,2,2,0,0.510534959,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,4000000,4000000,0,4480000000,4480000000,0,1003924,3924,1000000,0,0,72285568,0,358367232,358400000,0.016959709,0.462947666,0.000437250,0.480344625
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,2,3,4,0.185754292,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,549428,549428,0,620853640,620853640,0,1003924,3924,1000000,23177,313215,73212648,927080,164593664,164610048,0.017742042,0.147060917,0.000112041,0.164915000
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,2,4,2,0.218079750,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,999548,999548,0,1119493760,1119493760,0,1003924,3924,1000000,0,250339,72285568,0,186335232,186351616,0.017795375,0.179401458,0.000419625,0.197616458
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,2,1,4,0.056623292,4,1,1,100000,500000,0,0,500000,0,6238072747940578789,313700,313700,0,344442600,344442600,0,100394,394,100000,13281,107875,7761320,531240,66060288,66093056,0.001806125,0.044013500,0.000000250,0.045819875
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,2,2,8,0.047271542,8,1,1,100000,500000,0,0,500000,0,6238072747940578789,159388,159388,0,177558232,177558232,0,100394,394,100000,18642,141377,9168848,1938768,52084736,52084736,0.001816250,0.035301125,0.000031291,0.037148666
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,2,3,2,0.071986875,2,1,1,100000,500000,0,0,500000,0,6238072747940578789,570800,570800,0,621030400,621030400,0,100394,394,100000,0,71900,7230080,0,89899008,89915392,0.001933166,0.059414417,0.000356708,0.061704291
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,2,4,0,0.193026416,0,1,1,100000,500000,0,0,500000,0,6238072747940578789,2000000,2000000,0,2176000000,2176000000,0,100394,394,100000,0,0,7230080,0,213352448,213385216,0.001782833,0.175022750,0.001804042,0.178609625
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,3,1,8,0.055759417,8,1,1,100000,500000,0,0,500000,0,6238072747940578789,159388,159388,0,177558232,177558232,0,100394,394,100000,18642,141377,9168848,1938768,52150272,52183040,0.002645375,0.041828542,0.000056708,0.044530625
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,3,2,0,0.203350500,0,1,1,100000,500000,0,0,500000,0,6238072747940578789,2000000,2000000,0,2176000000,2176000000,0,100394,394,100000,0,0,7230080,0,213417984,213450752,0.001830833,0.186232167,0.001662916,0.189725916
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,3,3,4,0.066362833,4,1,1,100000,500000,0,0,500000,0,6238072747940578789,313700,313700,0,344442600,344442600,0,100394,394,100000,13281,107875,7761320,531240,66060288,66060288,0.002253167,0.052720042,0.000192666,0.055165875
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/100k/radix_zipfian.data,3,4,2,0.082722584,2,1,1,100000,500000,0,0,500000,0,6238072747940578789,570800,570800,0,621030400,621030400,0,100394,394,100000,0,71900,7230080,0,89899008,89899008,0.002033584,0.068517541,0.000354209,0.070905334
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,3,1,0,0.507541500,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,4000000,4000000,0,4480000000,4480000000,0,1003924,3924,1000000,0,0,72285568,0,358367232,358400000,0.017492542,0.460753042,0.000273416,0.478519000
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,3,2,2,0.214563792,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,999548,999548,0,1119493760,1119493760,0,1003924,3924,1000000,0,250339,72285568,0,187056128,187072512,0.016933500,0.177177667,0.000142541,0.194253708
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,3,3,8,0.152888584,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,280696,280696,0,321677616,321677616,0,1003924,3924,1000000,31884,368434,75601504,3315936,152649728,152666112,0.016484208,0.116806458,0.000047708,0.133338374
/Users/minrain/homework/Path_Copy_memory_version/Contrees/build/mac-validation/1m/radix_zipfian.data,3,4,4,0.183456875,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,549428,549428,0,620853640,620853640,0,1003924,3924,1000000,23177,313215,73212648,927080,164462592,164462592,0.016880667,0.146406084,0.000124250,0.163411001
