dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds
/private/tmp/radix_uniform.data,1,1,2,0.011228583,2,1,1,10000,50000,0,0,50000,0,6238072747940578789,40062,40062,0,38426880,38426880,0,10041,41,10000,0,9938,723264,0,49020928,49037312,0.000765000,0.006498292,0.000162125,0.007425417
/private/tmp/radix_uniform.data,1,2,4,0.007611250,4,1,1,10000,50000,0,0,50000,0,6238072747940578789,17679,17679,0,17194120,17194120,0,10041,41,10000,4236,20535,892704,169440,28016640,28033024,0.000676542,0.003124791,0.000286792,0.004088125
/private/tmp/radix_uniform.data,1,3,0,0.031028625,0,1,1,10000,50000,0,0,50000,0,6238072747940578789,150000,150000,0,143865600,143865600,0,10041,41,10000,0,0,723264,0,133005312,133005312,0.000753875,0.023841125,0.001726542,0.026321542
/private/tmp/radix_uniform.data,1,4,8,0.005669333,8,1,1,10000,50000,0,0,50000,0,6238072747940578789,2037,2037,0,2024216,2024216,0,10041,41,10000,8149,43889,1570760,847496,15040512,15056896,0.000715209,0.001693834,0.000018833,0.002427876
/private/tmp/radix_hot.data,1,1,4,0.008759917,4,1,1,10000,50000,0,0,50000,0,6238072747940578789,26889,26889,0,26171960,26171960,0,10041,41,10000,193,5185,730984,7720,34340864,34340864,0.000734125,0.004831291,0.000115000,0.005680416
/private/tmp/radix_hot.data,1,2,8,0.006737542,8,1,1,10000,50000,0,0,50000,0,6238072747940578789,14874,14874,0,14794672,14794672,0,10041,41,10000,214,5378,745520,22256,24707072,24723456,0.000730625,0.002746166,0.000234917,0.003711708
/private/tmp/radix_hot.data,1,3,2,0.011009708,2,1,1,10000,50000,0,0,50000,0,6238072747940578789,45366,45366,0,43551360,43551360,0,10041,41,10000,0,4634,723264,0,42942464,42942464,0.000715084,0.006158041,0.000517250,0.007390375
/private/tmp/radix_hot.data,1,4,0,0.029906500,0,1,1,10000,50000,0,0,50000,0,6238072747940578789,150000,150000,0,143988480,143988480,0,10041,41,10000,0,0,723264,0,133070848,133070848,0.000706958,0.022611833,0.002040333,0.025359124
/private/tmp/radix_lookup90.data,1,1,8,0.005152375,8,1,1,10000,50000,45022,0,4978,0,13475279776690479387,0,0,0,0,0,0,10041,41,10000,152,4978,739072,15808,12304384,12337152,0.000781041,0.001203000,0.000000125,0.001984166
/private/tmp/radix_lookup90.data,1,2,0,0.005212458,0,1,1,10000,50000,45022,0,4978,0,5182747681836551620,14934,14934,0,14323200,14323200,0,10041,41,10000,0,0,723264,0,20496384,20512768,0.000766042,0.001198166,0.000103417,0.002067625
