dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds,num_pipes
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,1,1,2,0.662851459,2,1,1,10000000,100000,0,0,100000,0,6238072747940578789,784,784,0,206192,206192,0,1428570,178570,1250000,90195,99706,370764840,5050920,650706944,650706944,0.577018583,0.043777792,0.000041375,0.620837750,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,1,2,4,0.671765417,4,1,1,10000000,100000,0,0,100000,0,6238072747940578789,0,0,0,0,0,0,1428570,178570,1250000,90292,100000,375104288,9390368,654753792,654753792,0.576508417,0.043059167,0.000000083,0.619567667,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,1,3,0,0.729351167,0,1,1,10000000,100000,0,0,100000,0,6238072747940578789,800000,800000,0,204800000,204800000,0,1428570,178570,1250000,0,0,365713920,0,703791104,703791104,0.572132959,0.084700209,0.004404042,0.661237210,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,1,4,8,0.658898708,8,1,1,10000000,100000,0,0,100000,0,6238072747940578789,0,0,0,0,0,0,1428570,178570,1250000,90292,100000,383772320,18058400,657833984,657833984,0.572365166,0.040698542,0.000000042,0.613063750,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,1,1,4,0.330226833,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1018290,1018290,0,275811120,275811120,0,177742,17887,159855,115352,272650,57498560,11996608,131088384,131088384,0.049153792,0.257761084,0.000127458,0.307042334,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,1,2,8,0.283232625,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,326865,326865,0,93016440,93016440,0,189602,17907,171695,134476,579745,75433312,26895200,147111936,147111936,0.049118208,0.208096125,0.000102041,0.257316374,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,1,3,2,0.421796125,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1980496,1980496,0,522850944,522850944,0,189779,18084,171695,103647,151216,54387656,5804232,136019968,136019968,0.049966291,0.345792459,0.000266041,0.396024791,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,1,4,0,0.605692667,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,7000000,7000000,0,1792000000,1792000000,0,205437,18818,186619,0,0,52591872,0,176504832,176504832,0.049177541,0.520426417,0.000486625,0.570090583,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,1,1,8,0.278017458,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,356755,356755,0,101522280,101522280,0,142856,17856,125000,109350,541315,58441136,21870000,133922816,133922816,0.049003250,0.205585208,0.000112125,0.254700583,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,1,2,0,0.597436500,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,7000000,7000000,0,1792000000,1792000000,0,142856,17856,125000,0,0,36571136,0,161857536,161890304,0.049163583,0.514308334,0.000587625,0.564059542,3
