run,mode,workload,workers,clients,gc,records,updates,seconds,peak_rss_bytes,live_bytes,mismatches,exit_code,error
1,latest,update,1,4,False,100000,300000,0.070677,104693760,4123832,0,0,
1,original,update,4,,,,,,,,,-11,
1,original,update,2,,,,,,,,,-11,
1,original,update,1,,,,,,,,,-11,
1,latest,insert,1,4,False,100000,300000,0.0712016,104529920,11530944,0,0,
1,original,insert,4,,,,,,,,,-11,
1,original,insert,2,,,,,,,,,-11,
1,original,insert,1,,,,,,,,,-11,
2,original,update,1,,,,,,,,,-11,
2,original,update,2,,,,,,,,,-11,
2,original,update,4,,,,,,,,,-11,
2,latest,update,1,4,False,100000,300000,0.0710303,104972288,4123832,0,0,
2,original,insert,1,,,,,,,,,-11,
2,original,insert,2,,,,,,,,,-11,
2,original,insert,4,,,,,,,,,-11,
2,latest,insert,1,4,False,100000,300000,0.069508,104398848,11511272,0,0,
3,latest,update,1,4,False,100000,300000,0.0697064,104693760,4123832,0,0,
3,original,update,4,,,,,,,,,-11,
3,original,update,2,,,,,,,,,-11,
3,original,update,1,,,,,,,,,-11,
3,latest,insert,1,4,False,100000,300000,0.0694353,104546304,11529680,0,0,
3,original,insert,4,,,,,,,,,-11,
3,original,insert,2,,,,,,,,,-11,
3,original,insert,1,,,,,,,,,-11,
