run,mode,slots,workers,pattern,pinned,records,updates,elapsed_seconds,peak_rss_bytes,live_bytes,overflow_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,parallel_updates,materialization_waves,reference_ok
1,batch,8,1,uniform,0,100000,100000,0.00729187,24625152,8520952,840632,0,0,0,100000,0,0,0,True
1,batch,4,1,uniform,0,100000,100000,0.00826983,24477696,7989360,309040,291952,291952,0,99642,358,0,164,True
1,batch,2,4,uniform,0,100000,100000,0.0216714,25624576,7680320,0,4662784,4662784,0,91863,8137,99964,378,True
1,batch,2,2,uniform,0,100000,100000,0.0173943,25526272,7680320,0,4655232,4655232,0,91863,8137,99989,377,True
1,batch,2,1,uniform,0,100000,100000,0.00857258,24494080,7680320,0,4645760,4645760,0,91863,8137,0,373,True
1,batch,0,1,uniform,0,100000,100000,0.019854,25804800,7680320,0,42342912,42342912,0,0,100000,0,500,True
1,seq,2,1,uniform,0,100000,100000,0.00562754,36487168,7680320,0,7290752,7290752,0,,,0,,True
1,cow,0,1,uniform,0,100000,100000,0.116345,24625152,7680320,0,89600000,89600000,0,0,100000,0,0,True
1,cow,0,1,uniform,1,100000,100000,0.12991,148537344,7680320,0,89600000,89600000,0,0,100000,0,0,True
1,seq,2,1,uniform,1,100000,100000,0.00542517,40304640,7680320,0,7290752,7290752,0,,,0,,True
1,batch,0,1,uniform,1,100000,100000,0.0227947,79986688,7680320,0,42421824,42421824,0,0,100000,0,509,True
1,batch,2,1,uniform,1,100000,100000,0.00802696,28934144,7680320,0,4649280,4649280,0,91863,8137,0,368,True
1,batch,2,2,uniform,1,100000,100000,0.0164772,29081600,7680320,0,4650624,4650624,0,91863,8137,99996,371,True
1,batch,2,4,uniform,1,100000,100000,0.0192821,29147136,7680320,0,4660096,4660096,0,91863,8137,99987,372,True
1,batch,4,1,uniform,1,100000,100000,0.00703842,24625152,7989360,309040,293168,293168,0,99642,358,0,159,True
1,batch,8,1,uniform,1,100000,100000,0.00810271,24625152,8520952,840632,0,0,0,100000,0,0,0,True
1,batch,8,1,hot,0,100000,100000,0.01215,23953408,7690200,9880,4597008,4597008,0,90070,9930,0,2382,True
