run,mode,slots,workers,pattern,pinned,records,updates,elapsed_seconds,peak_rss_bytes,live_bytes,overflow_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,parallel_updates,materialization_waves,reference_ok
1,batch,8,1,uniform,0,100000,100000,0.00685029,23986176,8070712,840632,0,0,0,100000,0,0,0,True
1,batch,4,1,uniform,0,100000,100000,0.00875725,23707648,7539120,309040,1240048,1240048,0,99642,358,0,149,True
1,batch,2,4,uniform,0,100000,100000,0.0219548,24281088,7230080,0,18561792,18561792,0,91863,8137,99995,368,True
1,batch,2,2,uniform,0,100000,100000,0.0183292,24231936,7230080,0,18587520,18587520,0,91863,8137,99959,374,True
1,batch,2,1,uniform,0,100000,100000,0.011058,24150016,7230080,0,18553408,18553408,0,91863,8137,0,369,True
1,batch,0,1,uniform,0,100000,100000,0.0218822,24641536,7230080,0,168769344,168769344,0,0,100000,0,509,True
1,seq,2,1,uniform,0,100000,100000,0.00677421,58146816,7230080,0,35412224,35412224,0,,,0,,True
1,cow,0,1,uniform,0,100000,100000,0.169515,23969792,7230080,0,435200000,435200000,0,0,100000,0,0,True
1,cow,0,1,uniform,1,100000,100000,0.209044,568590336,7230080,0,435200000,435200000,0,0,100000,0,0,True
1,seq,2,1,uniform,1,100000,100000,0.00735846,73744384,7230080,0,35412224,35412224,0,,,0,,True
1,batch,0,1,uniform,1,100000,100000,0.030401,231374848,7230080,0,168456704,168456704,0,0,100000,0,508,True
1,batch,2,1,uniform,1,100000,100000,0.00891879,45056000,7230080,0,18553600,18553600,0,91863,8137,0,372,True
1,batch,2,2,uniform,1,100000,100000,0.0168272,45137920,7230080,0,18532544,18532544,0,91863,8137,99974,373,True
1,batch,2,4,uniform,1,100000,100000,0.0219573,45318144,7230080,0,18640832,18640832,0,91863,8137,99993,382,True
1,batch,4,1,uniform,1,100000,100000,0.00847204,24772608,7539120,309040,1255728,1255728,0,99642,358,0,163,True
1,batch,8,1,uniform,1,100000,100000,0.00654638,23986176,8070712,840632,0,0,0,100000,0,0,0,True
1,batch,8,1,hot,0,100000,100000,0.0124381,23281664,7239960,9880,11723600,11723600,0,90070,9930,0,2345,True
1,batch,4,1,hot,0,100000,100000,0.0134353,23314432,7232640,2560,15507888,15507888,0,82082,17918,0,3182,True
1,batch,2,4,hot,0,100000,100000,0.0695673,23478272,7230080,0,19722112,19722112,0,70079,29921,86995,4139,True
1,batch,2,2,hot,0,100000,100000,0.0548363,23429120,7230080,0,19597760,19597760,0,70079,29921,86893,4110,True
1,batch,2,1,hot,0,100000,100000,0.0156695,23379968,7230080,0,19696384,19696384,0,70079,29921,0,4133,True
1,batch,0,1,hot,0,100000,100000,0.0287485,24133632,7230080,0,65937472,65937472,0,0,100000,0,7593,True
1,seq,2,1,hot,0,100000,100000,0.0134535,84951040,7230080,0,130216192,130216192,0,,,0,,True
1,cow,0,1,hot,0,100000,100000,0.110758,23953408,7230080,0,435200000,435200000,0,0,100000,0,0,True
1,cow,0,1,hot,1,100000,100000,0.181394,568590336,7230080,0,435200000,435200000,0,0,100000,0,0,True
