run,mode,slots,workers,pattern,pinned,records,updates,elapsed_seconds,peak_rss_bytes,live_bytes,overflow_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,parallel_updates,materialization_waves,reference_ok
1,batch,8,1,uniform,0,100000,100000,0.00988067,23986176,8070712,840632,0,0,0,100000,0,0,0,True
1,batch,4,1,uniform,0,100000,100000,0.00740958,23773184,7539120,309040,1254896,1254896,0,99642,358,0,150,True
1,batch,2,4,uniform,0,100000,100000,0.0217883,24231936,7230080,0,18498752,18498752,0,91863,8137,99971,373,True
1,batch,2,2,uniform,0,100000,100000,0.0158314,24231936,7230080,0,18572800,18572800,0,91863,8137,100000,375,True
1,batch,2,1,uniform,0,100000,100000,0.0114548,24150016,7230080,0,18519680,18519680,0,91863,8137,0,370,True
1,batch,0,1,uniform,0,100000,100000,0.0206336,24494080,7230080,0,168758400,168758400,0,0,100000,0,503,True
1,seq,2,1,uniform,0,100000,100000,0.00668917,55361536,7230080,0,35412224,35412224,0,,,0,,True
1,cow,0,1,uniform,0,100000,100000,0.146367,23969792,7230080,0,435200000,435200000,0,0,100000,0,0,True
1,cow,0,1,uniform,1,100000,100000,0.186125,568590336,7230080,0,435200000,435200000,0,0,100000,0,0,True
1,seq,2,1,uniform,1,100000,100000,0.00673196,73744384,7230080,0,35412224,35412224,0,,,0,,True
1,batch,0,1,uniform,1,100000,100000,0.0280822,231522304,7230080,0,168538560,168538560,0,0,100000,0,500,True
1,batch,2,1,uniform,1,100000,100000,0.00874662,45301760,7230080,0,18725888,18725888,0,91863,8137,0,424,True
1,batch,2,2,uniform,1,100000,100000,0.0165219,45170688,7230080,0,18585344,18585344,0,91863,8137,100000,373,True
1,batch,2,4,uniform,1,100000,100000,0.0207594,45154304,7230080,0,18534464,18534464,0,91863,8137,99997,370,True
1,batch,4,1,uniform,1,100000,100000,0.00676029,24772608,7539120,309040,1274736,1274736,0,99642,358,0,163,True
1,batch,8,1,uniform,1,100000,100000,0.00728246,23986176,8070712,840632,0,0,0,100000,0,0,0,True
1,batch,8,1,hot,0,100000,100000,0.0117718,23298048,7239960,9880,11839376,11839376,0,90070,9930,0,2372,True
1,batch,4,1,hot,0,100000,100000,0.0128164,23314432,7232640,2560,15679408,15679408,0,82082,17918,0,3222,True
1,batch,2,4,hot,0,100000,100000,0.0666028,23445504,7230080,0,19713536,19713536,0,70079,29921,86486,4137,True
1,batch,2,2,hot,0,100000,100000,0.0542341,23429120,7230080,0,19619200,19619200,0,70079,29921,86754,4115,True
1,batch,2,1,hot,0,100000,100000,0.0147369,23379968,7230080,0,19739264,19739264,0,70079,29921,0,4143,True
1,batch,0,1,hot,0,100000,100000,0.0263418,24133632,7230080,0,65861376,65861376,0,0,100000,0,7592,True
1,seq,2,1,hot,0,100000,100000,0.0118826,84951040,7230080,0,130216192,130216192,0,,,0,,True
1,cow,0,1,hot,0,100000,100000,0.0934185,23953408,7230080,0,435200000,435200000,0,0,100000,0,0,True
1,cow,0,1,hot,1,100000,100000,0.164233,568590336,7230080,0,435200000,435200000,0,0,100000,0,0,True
1,seq,2,1,hot,1,100000,100000,0.0158611,192937984,7230080,0,130216192,130216192,0,,,0,,True
