run,mode,slots,workers,pattern,pinned,records,updates,elapsed_seconds,peak_rss_bytes,live_bytes,overflow_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,parallel_updates,materialization_waves,reference_ok
1,batch,8,1,uniform,0,100000,100000,0.0184543,22183936,5841360,2184400,6038696,6038696,0,94883,5117,0,325,True
1,batch,4,1,uniform,0,100000,100000,0.0213336,21676032,4698104,1041144,15093208,15093208,0,84953,15047,0,482,True
1,batch,2,4,uniform,0,100000,100000,0.0380822,21610496,4119184,462224,26276696,26276696,0,70819,29181,99887,602,True
1,batch,2,2,uniform,0,100000,100000,0.0326478,21512192,4119184,462224,26304600,26304600,0,70819,29181,99760,628,True
1,batch,2,1,uniform,0,100000,100000,0.0238152,21430272,4119184,462224,26239320,26239320,0,70819,29181,0,602,True
1,batch,0,1,uniform,0,100000,100000,0.0362683,21299200,3656960,0,75395328,75395328,0,0,100000,0,986,True
1,seq,2,1,uniform,0,100000,100000,0.0183508,45907968,4119184,462224,46456152,46456152,0,,,0,,True
1,cow,0,1,uniform,0,100000,100000,0.17307,21250048,3656960,0,153600000,153600000,0,0,100000,0,0,True
1,cow,0,1,uniform,1,100000,100000,0.170784,182992896,3656960,0,153600000,153600000,0,0,100000,0,0,True
1,seq,2,1,uniform,1,100000,100000,0.0181393,76382208,4119184,462224,46456152,46456152,0,,,0,,True
1,batch,0,1,uniform,1,100000,100000,0.0414991,97353728,3656960,0,75345664,75345664,0,0,100000,0,983,True
1,batch,2,1,uniform,1,100000,100000,0.0242753,46710784,4119184,462224,26247768,26247768,0,70819,29181,0,608,True
1,batch,2,2,uniform,1,100000,100000,0.0315648,49889280,4119184,462224,26305368,26305368,0,70819,29181,99828,617,True
1,batch,2,4,uniform,1,100000,100000,0.0359459,47185920,4119184,462224,26313816,26313816,0,70819,29181,99830,612,True
1,batch,4,1,uniform,1,100000,100000,0.0190244,35995648,4698104,1041144,15113944,15113944,0,84953,15047,0,500,True
1,batch,8,1,uniform,1,100000,100000,0.0135341,27852800,5841360,2184400,6011816,6011816,0,94883,5117,0,319,True
1,batch,8,1,hot,0,100000,100000,0.0211397,21463040,5055760,1398800,11750760,11750760,0,90027,9973,0,5250,True
1,batch,4,1,hot,0,100000,100000,0.0281507,21446656,4382360,725400,17315112,17315112,0,82023,17977,0,7735,True
1,batch,2,4,hot,0,100000,100000,0.0356673,21200896,4021352,364392,24811200,24811200,0,69464,30536,994,10288,True
1,batch,2,2,hot,0,100000,100000,0.0355566,21299200,4021352,364392,24792768,24792768,0,69464,30536,1388,10248,True
1,batch,2,1,hot,0,100000,100000,0.035257,21413888,4021352,364392,24836288,24836288,0,69464,30536,0,10314,True
1,batch,0,1,hot,0,100000,100000,0.0725438,21315584,3656960,0,66757888,66757888,0,0,100000,0,21616,True
1,seq,2,1,hot,0,100000,100000,0.0100295,48463872,4021352,364392,48613312,48613312,0,,,0,,True
1,cow,0,1,hot,0,100000,100000,0.134498,21266432,3656960,0,153600000,153600000,0,0,100000,0,0,True
1,cow,0,1,hot,1,100000,100000,0.114764,182992896,3656960,0,153600000,153600000,0,0,100000,0,0,True
1,seq,2,1,hot,1,100000,100000,0.0109441,78594048,4021352,364392,48613312,48613312,0,,,0,,True
1,batch,0,1,hot,1,100000,100000,0.0790708,88932352,3656960,0,66844416,66844416,0,0,100000,0,21695,True
1,batch,2,1,hot,1,100000,100000,0.0443767,45121536,4021352,364392,24799168,24799168,0,69464,30536,0,10269,True
1,batch,2,2,hot,1,100000,100000,0.0438408,45252608,4021352,364392,24830400,24830400,0,69464,30536,1174,10314,True
1,batch,2,4,hot,1,100000,100000,0.0420893,45416448,4021352,364392,24847296,24847296,0,69464,30536,1282,10303,True
1,batch,4,1,hot,1,100000,100000,0.031029,37552128,4382360,725400,17190440,17190440,0,82023,17977,0,7633,True
1,batch,8,1,hot,1,100000,100000,0.0241679,32735232,5055760,1398800,11794792,11794792,0,90027,9973,0,5291,True
1,batch,8,1,insert,0,100000,100000,0.0163269,26230784,7327064,1325400,8638344,8638344,0,91655,8345,0,778,True
1,batch,4,1,insert,0,100000,100000,0.018957,25378816,6333648,569296,14788896,14788896,0,82540,17460,0,1057,True
1,batch,2,4,insert,0,100000,100000,0.0492479,26050560,6273584,281904,23235264,23235264,0,69112,30888,98224,1291,True
1,batch,2,2,insert,0,100000,100000,0.0405001,25870336,6290544,283248,23053368,23053368,0,69119,30881,98411,1239,True
1,batch,2,1,insert,0,100000,100000,0.0244554,25427968,6275608,281624,23144736,23144736,0,69124,30876,0,1264,True
1,batch,0,1,insert,0,100000,100000,0.0376172,25575424,6297344,0,60641280,60641280,0,0,100000,0,1981,True
1,seq,2,1,insert,0,100000,100000,0.0163202,59277312,6301248,280896,63549304,63549304,0,,,0,,True
1,cow,0,1,insert,0,100000,100000,0.172272,25427968,6304000,0,200766976,200766976,0,0,100000,0,0,True
1,cow,0,1,insert,1,100000,100000,0.174351,238403584,6313728,0,200439040,200439040,0,0,100000,0,0,True
1,seq,2,1,insert,1,100000,100000,0.0159406,99926016,6292088,284536,63344448,63344448,0,,,0,,True
1,batch,0,1,insert,1,100000,100000,0.0395094,88539136,6296576,0,61091328,61091328,0,0,100000,0,2007,True
1,batch,2,1,insert,1,100000,100000,0.0239795,49053696,6285640,283976,23024976,23024976,0,69146,30854,0,1274,True
1,batch,2,2,insert,1,100000,100000,0.0394046,49250304,6287432,282184,23055528,23055528,0,69117,30883,98442,1249,True
1,batch,2,4,insert,1,100000,100000,0.0488926,49397760,6269800,281960,23088272,23088272,0,69122,30878,98557,1261,True
1,batch,4,1,insert,1,100000,100000,0.0207898,40615936,6325240,568568,14752192,14752192,0,82536,17464,0,1044,True
1,batch,8,1,insert,1,100000,100000,0.016992,35422208,7337240,1330200,8676528,8676528,0,91642,8358,0,789,True
2,cow,0,1,uniform,0,100000,100000,0.161506,21250048,3656960,0,153600000,153600000,0,0,100000,0,0,True
2,seq,2,1,uniform,0,100000,100000,0.0176602,45842432,4119184,462224,46456152,46456152,0,,,0,,True
2,batch,0,1,uniform,0,100000,100000,0.0376573,21348352,3656960,0,75310592,75310592,0,0,100000,0,976,True
2,batch,2,1,uniform,0,100000,100000,0.0271959,21479424,4119184,462224,26377048,26377048,0,70819,29181,0,628,True
2,batch,2,2,uniform,0,100000,100000,0.0345992,21561344,4119184,462224,26405976,26405976,0,70819,29181,99810,629,True
2,batch,2,4,uniform,0,100000,100000,0.0381189,21561344,4119184,462224,26388312,26388312,0,70819,29181,99811,629,True
2,batch,4,1,uniform,0,100000,100000,0.0212913,21676032,4698104,1041144,15111128,15111128,0,84953,15047,0,497,True
2,batch,8,1,uniform,0,100000,100000,0.0145238,22167552,5841360,2184400,6012328,6012328,0,94883,5117,0,312,True
2,batch,8,1,uniform,1,100000,100000,0.0138335,27820032,5841360,2184400,6016936,6016936,0,94883,5117,0,312,True
2,batch,4,1,uniform,1,100000,100000,0.018235,36143104,4698104,1041144,15147736,15147736,0,84953,15047,0,494,True
2,batch,2,4,uniform,1,100000,100000,0.0371514,47300608,4119184,462224,26354520,26354520,0,70819,29181,99831,631,True
2,batch,2,2,uniform,1,100000,100000,0.0315422,46858240,4119184,462224,26327896,26327896,0,70819,29181,99843,612,True
2,batch,2,1,uniform,1,100000,100000,0.0255629,46612480,4119184,462224,26254936,26254936,0,70819,29181,0,604,True
2,batch,0,1,uniform,1,100000,100000,0.0391159,96452608,3656960,0,74631168,74631168,0,0,100000,0,941,True
2,seq,2,1,uniform,1,100000,100000,0.0172938,76382208,4119184,462224,46456152,46456152,0,,,0,,True
2,cow,0,1,uniform,1,100000,100000,0.156677,182992896,3656960,0,153600000,153600000,0,0,100000,0,0,True
2,cow,0,1,hot,0,100000,100000,0.135547,21266432,3656960,0,153600000,153600000,0,0,100000,0,0,True
2,seq,2,1,hot,0,100000,100000,0.00922917,48463872,4021352,364392,48613312,48613312,0,,,0,,True
