run,mode,slots,workers,pattern,pinned,records,updates,elapsed_seconds,peak_rss_bytes,live_bytes,overflow_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,parallel_updates,materialization_waves,reference_ok
1,batch,8,1,uniform,0,100000,100000,0.0154439,22282240,5841360,2184400,6048680,6048680,0,94883,5117,0,331,True
1,batch,4,1,uniform,0,100000,100000,0.0204531,21692416,4698104,1041144,15070936,15070936,0,84953,15047,0,477,True
1,batch,2,4,uniform,0,100000,100000,0.0342494,21577728,4119184,462224,26336856,26336856,0,70819,29181,99854,617,True
1,batch,2,2,uniform,0,100000,100000,0.0339323,21528576,4119184,462224,26422616,26422616,0,70819,29181,99826,629,True
1,batch,2,1,uniform,0,100000,100000,0.025439,21544960,4119184,462224,26293592,26293592,0,70819,29181,0,606,True
1,batch,0,1,uniform,0,100000,100000,0.0375803,21315584,3656960,0,75240704,75240704,0,0,100000,0,975,True
1,seq,8,1,uniform,0,100000,100000,0.00992758,34635776,5841360,2184400,8883112,8883112,0,,,0,,True
1,seq,4,1,uniform,0,100000,100000,0.0141633,39550976,4698104,1041144,24677080,24677080,0,,,0,,True
1,seq,2,1,uniform,0,100000,100000,0.0165369,45793280,4119184,462224,46456152,46456152,0,,,0,,True
1,cow,0,1,uniform,0,100000,100000,0.175367,21266432,3656960,0,153600000,153600000,0,0,100000,0,0,True
1,cow,0,1,uniform,1,100000,100000,0.176935,183009280,3656960,0,153600000,153600000,0,0,100000,0,0,True
1,seq,2,1,uniform,1,100000,100000,0.0174831,76398592,4119184,462224,46456152,46456152,0,,,0,,True
1,seq,4,1,uniform,1,100000,100000,0.013249,53526528,4698104,1041144,24677080,24677080,0,,,0,,True
1,seq,8,1,uniform,1,100000,100000,0.00853288,38027264,5841360,2184400,8883112,8883112,0,,,0,,True
1,batch,0,1,uniform,1,100000,100000,0.0408348,96813056,3656960,0,74951424,74951424,0,0,100000,0,954,True
1,batch,2,1,uniform,1,100000,100000,0.0249883,46743552,4119184,462224,26275928,26275928,0,70819,29181,0,611,True
1,batch,2,2,uniform,1,100000,100000,0.032625,47054848,4119184,462224,26423640,26423640,0,70819,29181,99826,636,True
1,batch,2,4,uniform,1,100000,100000,0.038315,47316992,4119184,462224,26464088,26464088,0,70819,29181,99782,643,True
1,batch,4,1,uniform,1,100000,100000,0.0192616,36093952,4698104,1041144,15113688,15113688,0,84953,15047,0,491,True
1,batch,8,1,uniform,1,100000,100000,0.0143115,27934720,5841360,2184400,6018984,6018984,0,94883,5117,0,316,True
1,batch,8,1,hot,0,100000,100000,0.0239635,21479424,5055760,1398800,11735144,11735144,0,90027,9973,0,5251,True
1,batch,4,1,hot,0,100000,100000,0.0289129,21463040,4382360,725400,17148712,17148712,0,82023,17977,0,7594,True
1,batch,2,4,hot,0,100000,100000,0.0387237,21217280,4021352,364392,24902592,24902592,0,69464,30536,1663,10360,True
1,batch,2,2,hot,0,100000,100000,0.0385628,21266432,4021352,364392,24859840,24859840,0,69464,30536,1545,10330,True
1,batch,2,1,hot,0,100000,100000,0.0355117,21430272,4021352,364392,24769984,24769984,0,69464,30536,0,10265,True
1,batch,0,1,hot,0,100000,100000,0.0787901,21282816,3656960,0,66774016,66774016,0,0,100000,0,21656,True
1,seq,8,1,hot,0,100000,100000,0.00682033,36814848,5055760,1398800,17313128,17313128,0,,,0,,True
1,seq,4,1,hot,0,100000,100000,0.008246,41549824,4382360,725400,29482280,29482280,0,,,0,,True
1,seq,2,1,hot,0,100000,100000,0.0101303,48414720,4021352,364392,48613312,48613312,0,,,0,,True
1,cow,0,1,hot,0,100000,100000,0.143102,21282816,3656960,0,153600000,153600000,0,0,100000,0,0,True
1,cow,0,1,hot,1,100000,100000,0.123715,183009280,3656960,0,153600000,153600000,0,0,100000,0,0,True
1,seq,2,1,hot,1,100000,100000,0.0116582,78610432,4021352,364392,48613312,48613312,0,,,0,,True
1,seq,4,1,hot,1,100000,100000,0.00881521,58392576,4382360,725400,29482280,29482280,0,,,0,,True
1,seq,8,1,hot,1,100000,100000,0.00723129,46235648,5055760,1398800,17313128,17313128,0,,,0,,True
1,batch,0,1,hot,1,100000,100000,0.0818668,88948736,3656960,0,66856192,66856192,0,0,100000,0,21717,True
1,batch,2,1,hot,1,100000,100000,0.0401077,45219840,4021352,364392,24865728,24865728,0,69464,30536,0,10335,True
1,batch,2,2,hot,1,100000,100000,0.0412148,45236224,4021352,364392,24796864,24796864,0,69464,30536,1287,10264,True
1,batch,2,4,hot,1,100000,100000,0.0449617,46923776,4021352,364392,24919744,24919744,0,69464,30536,1327,10374,True
1,batch,4,1,hot,1,100000,100000,0.0321327,37470208,4382360,725400,17123624,17123624,0,82023,17977,0,7570,True
1,batch,8,1,hot,1,100000,100000,0.0263901,32653312,5055760,1398800,11746920,11746920,0,90027,9973,0,5251,True
1,batch,8,1,insert,0,100000,100000,0.017793,26148864,7338080,1333600,8603968,8603968,0,91640,8360,0,783,True
1,batch,4,1,insert,0,100000,100000,0.0207489,25559040,6331904,572416,14828296,14828296,0,82555,17445,0,1051,True
1,batch,2,4,insert,0,100000,100000,0.0480069,26083328,6289744,283472,23162840,23162840,0,69139,30861,98492,1264,True
1,batch,2,2,insert,0,100000,100000,0.0424675,25853952,6288688,289072,23132608,23132608,0,69176,30824,98498,1275,True
1,batch,2,1,insert,0,100000,100000,0.0242753,25559040,6295000,285656,23043608,23043608,0,69147,30853,0,1255,True
1,batch,0,1,insert,0,100000,100000,0.036326,25460736,6301440,0,60781824,60781824,0,0,100000,0,1992,True
1,seq,8,1,insert,0,100000,100000,0.00764912,39862272,7328048,1322800,18369992,18369992,0,,,0,,True
1,seq,4,1,insert,0,100000,100000,0.0112409,47677440,6335632,571792,36672928,36672928,0,,,0,,True
1,seq,2,1,insert,0,100000,100000,0.0167506,59228160,6301400,285656,63357280,63357280,0,,,0,,True
1,cow,0,1,insert,0,100000,100000,0.153523,25444352,6325504,0,200886016,200886016,0,0,100000,0,0,True
1,cow,0,1,insert,1,100000,100000,0.158849,238682112,6311936,0,200726784,200726784,0,0,100000,0,0,True
1,seq,2,1,insert,1,100000,100000,0.0163723,100089856,6300800,284032,63456648,63456648,0,,,0,,True
1,seq,4,1,insert,1,100000,100000,0.0122104,71434240,6339096,563992,36650680,36650680,0,,,0,,True
1,seq,8,1,insert,1,100000,100000,0.00848092,53166080,7334368,1330400,18369424,18369424,0,,,0,,True
1,batch,0,1,insert,1,100000,100000,0.0402634,88358912,6303232,0,60890624,60890624,0,0,100000,0,2002,True
1,batch,2,1,insert,1,100000,100000,0.0249176,49152000,6288336,284368,23129296,23129296,0,69130,30870,0,1261,True
1,batch,2,2,insert,1,100000,100000,0.0390871,49283072,6287456,280672,23110232,23110232,0,69123,30877,98262,1278,True
1,batch,2,4,insert,1,100000,100000,0.045486,49446912,6297728,285824,23082032,23082032,0,69142,30858,98448,1254,True
1,batch,4,1,insert,1,100000,100000,0.0188562,40517632,6320192,566592,14710424,14710424,0,82529,17471,0,1024,True
1,batch,8,1,insert,1,100000,100000,0.0160459,35438592,7332808,1331400,8663608,8663608,0,91649,8351,0,788,True
2,cow,0,1,uniform,0,100000,100000,0.183573,21266432,3656960,0,153600000,153600000,0,0,100000,0,0,True
2,seq,2,1,uniform,0,100000,100000,0.0180823,45662208,4119184,462224,46456152,46456152,0,,,0,,True
2,seq,4,1,uniform,0,100000,100000,0.0122031,39419904,4698104,1041144,24677080,24677080,0,,,0,,True
2,seq,8,1,uniform,0,100000,100000,0.0105042,35962880,5841360,2184400,8883112,8883112,0,,,0,,True
2,batch,0,1,uniform,0,100000,100000,0.0375224,21266432,3656960,0,75247872,75247872,0,0,100000,0,977,True
2,batch,2,1,uniform,0,100000,100000,0.0267506,21594112,4119184,462224,26417496,26417496,0,70819,29181,0,636,True
2,batch,2,2,uniform,0,100000,100000,0.0354869,21577728,4119184,462224,26272856,26272856,0,70819,29181,99815,607,True
2,batch,2,4,uniform,0,100000,100000,0.0392337,21577728,4119184,462224,26327896,26327896,0,70819,29181,99844,622,True
