run,order,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_updates,reference_ok
1,1,10000,30000,4,1,2,uniform,0,0.0231832,8601600,413224,47656,12796208,12796208,0,20422,9578,6522,168,16,0,0,True
1,2,10000,30000,4,1,4,uniform,0,0.0161045,8617984,471752,106184,7598160,7598160,0,24510,5490,4494,235,16,0,0,True
1,3,10000,30000,4,1,0,uniform,0,0.0264087,8699904,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,4,10000,30000,4,1,8,uniform,0,0.00978279,8699904,593168,227600,4098120,4098120,0,27231,2769,2518,234,16,0,0,True
1,1,10000,30000,4,1,2,uniform,0,0.0236641,8650752,413224,47656,12796208,12796208,0,20422,9578,6532,181,2,0,0,True
1,2,10000,30000,4,1,4,uniform,0,0.0163304,8601600,471752,106184,7598160,7598160,0,24510,5490,4511,236,2,0,0,True
1,3,10000,30000,4,1,0,uniform,0,0.0273251,8667136,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,4,10000,30000,4,1,8,uniform,0,0.0103248,8601600,593168,227600,4098120,4098120,0,27231,2769,2544,236,2,0,0,True
1,1,10000,30000,4,2,4,uniform,0,0.0553529,8683520,471752,106184,7598160,7598160,0,24510,5490,4493,240,2,3593,23608,True
1,2,10000,30000,4,2,8,uniform,0,0.0341503,8601600,593168,227600,4098120,4098120,0,27231,2769,2539,238,2,2244,26936,True
1,3,10000,30000,4,2,2,uniform,0,0.0696238,8601600,413224,47656,12796208,12796208,0,20422,9578,6543,114,2,4428,18304,True
1,4,10000,30000,4,2,0,uniform,0,0.0268038,8634368,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,1,10000,30000,4,2,4,uniform,0,0.0178874,8601600,471752,106184,7598160,7598160,0,24510,5490,4492,232,16,199,5512,True
1,2,10000,30000,4,2,8,uniform,0,0.0149943,8601600,593168,227600,4098120,4098120,0,27231,2769,2531,239,16,446,15052,True
1,3,10000,30000,4,2,2,uniform,0,0.0230945,8601600,413224,47656,12796208,12796208,0,20422,9578,6576,183,16,27,907,True
1,4,10000,30000,4,2,0,uniform,0,0.0278527,8601600,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,1,10000,30000,4,4,0,uniform,0,0.0276746,8699904,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,2,10000,30000,4,4,2,uniform,0,0.091902,8601600,413224,47656,12796208,12796208,0,20422,9578,6561,181,2,4405,18264,True
1,3,10000,30000,4,4,8,uniform,0,0.0444568,8749056,593168,227600,4098120,4098120,0,27231,2769,2527,241,2,2242,26946,True
1,4,10000,30000,4,4,4,uniform,0,0.0714273,8601600,471752,106184,7598160,7598160,0,24510,5490,4499,231,2,3627,23636,True
1,1,10000,30000,4,4,0,uniform,0,0.0269768,8650752,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,2,10000,30000,4,4,2,uniform,0,0.0245289,8601600,413224,47656,12796208,12796208,0,20422,9578,6553,171,16,42,1142,True
1,3,10000,30000,4,4,8,uniform,0,0.0174177,8732672,593168,227600,4098120,4098120,0,27231,2769,2535,237,16,447,14923,True
1,4,10000,30000,4,4,4,uniform,0,0.0194325,8601600,471752,106184,7598160,7598160,0,24510,5490,4495,233,16,177,5109,True
1,1,10000,30000,4,4,2,uniform,1,0.0245498,18219008,413224,47656,12796208,12796208,0,20422,9578,6550,181,16,33,1010,True
1,2,10000,30000,4,4,4,uniform,1,0.019778,12533760,471752,106184,7598160,7598160,0,24510,5490,4511,239,16,191,5483,True
1,3,10000,30000,4,4,0,uniform,1,0.0296711,45826048,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,4,10000,30000,4,4,8,uniform,1,0.0182353,8880128,593168,227600,4098120,4098120,0,27231,2769,2531,238,16,448,14758,True
1,1,10000,30000,4,4,2,uniform,1,0.0907864,18219008,413224,47656,12796208,12796208,0,20422,9578,6518,181,2,4408,18311,True
1,2,10000,30000,4,4,4,uniform,1,0.0725677,12533760,471752,106184,7598160,7598160,0,24510,5490,4500,238,2,3587,23596,True
1,3,10000,30000,4,4,0,uniform,1,0.0303045,45826048,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,4,10000,30000,4,4,8,uniform,1,0.0459316,8896512,593168,227600,4098120,4098120,0,27231,2769,2539,237,2,2232,26924,True
1,1,10000,30000,4,2,8,uniform,1,0.0148044,8830976,593168,227600,4098120,4098120,0,27231,2769,2534,239,16,465,15192,True
1,2,10000,30000,4,2,0,uniform,1,0.029615,45793280,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,3,10000,30000,4,2,4,uniform,1,0.0182348,12468224,471752,106184,7598160,7598160,0,24510,5490,4490,235,16,188,5319,True
1,4,10000,30000,4,2,2,uniform,1,0.0247919,18137088,413224,47656,12796208,12796208,0,20422,9578,6539,181,16,37,1056,True
1,1,10000,30000,4,2,8,uniform,1,0.0357063,8830976,593168,227600,4098120,4098120,0,27231,2769,2546,236,2,2245,26930,True
1,2,10000,30000,4,2,0,uniform,1,0.0300208,45793280,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,3,10000,30000,4,2,4,uniform,1,0.0566233,12484608,471752,106184,7598160,7598160,0,24510,5490,4506,236,2,3562,23565,True
1,4,10000,30000,4,2,2,uniform,1,0.0704212,18137088,413224,47656,12796208,12796208,0,20422,9578,6504,181,2,4378,18294,True
1,1,10000,30000,4,1,4,uniform,1,0.0162433,12419072,471752,106184,7598160,7598160,0,24510,5490,4490,236,2,0,0,True
1,2,10000,30000,4,1,8,uniform,1,0.0106012,8781824,593168,227600,4098120,4098120,0,27231,2769,2549,239,2,0,0,True
1,3,10000,30000,4,1,2,uniform,1,0.0244748,18071552,413224,47656,12796208,12796208,0,20422,9578,6527,181,2,0,0,True
1,4,10000,30000,4,1,0,uniform,1,0.0295202,45776896,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,1,10000,30000,4,1,4,uniform,1,0.016265,12419072,471752,106184,7598160,7598160,0,24510,5490,4503,234,16,0,0,True
1,2,10000,30000,4,1,8,uniform,1,0.0104645,8781824,593168,227600,4098120,4098120,0,27231,2769,2531,244,16,0,0,True
1,3,10000,30000,4,1,2,uniform,1,0.0242841,18071552,413224,47656,12796208,12796208,0,20422,9578,6541,163,16,0,0,True
1,4,10000,30000,4,1,0,uniform,1,0.0285405,45776896,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,1,10000,30000,4,4,2,hot,0,0.0949206,8667136,412608,47040,12802888,12802888,0,20417,9583,6797,14,2,4594,18138,True
1,2,10000,30000,4,4,4,hot,0,0.0752485,8667136,475080,109512,7654904,7654904,0,24469,5531,4707,17,2,3827,23550,True
1,3,10000,30000,4,4,0,hot,0,0.0237078,8601600,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,4,10000,30000,4,4,8,hot,0,0.0497985,8634368,592168,226600,4428160,4428160,0,27008,2992,2810,24,2,2524,26703,True
1,1,10000,30000,4,4,2,hot,0,0.0195655,8716288,412608,47040,12802888,12802888,0,20417,9583,6812,15,16,0,0,True
1,2,10000,30000,4,4,4,hot,0,0.0148076,8650752,475080,109512,7654904,7654904,0,24469,5531,4691,17,16,8,197,True
1,3,10000,30000,4,4,0,hot,0,0.0267804,8699904,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,4,10000,30000,4,4,8,hot,0,0.0103995,8634368,592168,226600,4428160,4428160,0,27008,2992,2821,24,16,63,2085,True
1,1,10000,30000,4,2,8,hot,0,0.036375,8634368,592168,226600,4428160,4428160,0,27008,2992,2841,22,2,2528,26673,True
1,2,10000,30000,4,2,0,hot,0,0.0234258,8634368,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,3,10000,30000,4,2,4,hot,0,0.0583873,8601600,475080,109512,7654904,7654904,0,24469,5531,4663,20,2,3799,23563,True
1,4,10000,30000,4,2,2,hot,0,0.072765,8650752,412608,47040,12802888,12802888,0,20417,9583,6760,12,2,4682,18266,True
1,1,10000,30000,4,2,8,hot,0,0.0103177,8601600,592168,226600,4428160,4428160,0,27008,2992,2831,22,16,73,2534,True
1,2,10000,30000,4,2,0,hot,0,0.0239972,8716288,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,3,10000,30000,4,2,4,hot,0,0.0150501,8667136,475080,109512,7654904,7654904,0,24469,5531,4641,17,16,5,125,True
1,4,10000,30000,4,2,2,hot,0,0.0201295,8601600,412608,47040,12802888,12802888,0,20417,9583,6749,12,16,0,0,True
1,1,10000,30000,4,1,4,hot,0,0.0140632,8634368,475080,109512,7654904,7654904,0,24469,5531,4724,17,16,0,0,True
1,2,10000,30000,4,1,8,hot,0,0.0102766,8650752,592168,226600,4428160,4428160,0,27008,2992,2841,22,16,0,0,True
1,3,10000,30000,4,1,2,hot,0,0.0204352,8634368,412608,47040,12802888,12802888,0,20417,9583,6830,14,16,0,0,True
1,4,10000,30000,4,1,0,hot,0,0.0245006,8667136,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,1,10000,30000,4,1,4,hot,0,0.0146635,8650752,475080,109512,7654904,7654904,0,24469,5531,4679,20,2,0,0,True
1,2,10000,30000,4,1,8,hot,0,0.00951629,8650752,592168,226600,4428160,4428160,0,27008,2992,2807,22,2,0,0,True
1,3,10000,30000,4,1,2,hot,0,0.0203771,8634368,412608,47040,12802888,12802888,0,20417,9583,6786,13,2,0,0,True
1,4,10000,30000,4,1,0,hot,0,0.0234768,8699904,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,1,10000,30000,4,1,8,hot,1,0.0103302,9142272,592168,226600,4428160,4428160,0,27008,2992,2831,22,2,0,0,True
1,2,10000,30000,4,1,0,hot,1,0.0274464,45776896,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,3,10000,30000,4,1,4,hot,1,0.015597,12484608,475080,109512,7654904,7654904,0,24469,5531,4653,18,2,0,0,True
1,4,10000,30000,4,1,2,hot,1,0.0213276,18071552,412608,47040,12802888,12802888,0,20417,9583,6793,15,2,0,0,True
1,1,10000,30000,4,1,8,hot,1,0.0107075,9142272,592168,226600,4428160,4428160,0,27008,2992,2820,23,16,0,0,True
1,2,10000,30000,4,1,0,hot,1,0.0272327,45776896,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,3,10000,30000,4,1,4,hot,1,0.0152324,12484608,475080,109512,7654904,7654904,0,24469,5531,4671,18,16,0,0,True
1,4,10000,30000,4,1,2,hot,1,0.0213906,18071552,412608,47040,12802888,12802888,0,20417,9583,6796,14,16,0,0,True
1,1,10000,30000,4,2,0,hot,1,0.0292389,45793280,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,2,10000,30000,4,2,2,hot,1,0.0207597,18087936,412608,47040,12802888,12802888,0,20417,9583,6779,14,16,0,0,True
1,3,10000,30000,4,2,8,hot,1,0.0113228,9191424,592168,226600,4428160,4428160,0,27008,2992,2812,22,16,81,2737,True
1,4,10000,30000,4,2,4,hot,1,0.0151164,12533760,475080,109512,7654904,7654904,0,24469,5531,4660,17,16,7,178,True
1,1,10000,30000,4,2,0,hot,1,0.0267562,45793280,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,2,10000,30000,4,2,2,hot,1,0.0732798,18153472,412608,47040,12802888,12802888,0,20417,9583,6767,14,2,4535,18116,True
1,3,10000,30000,4,2,8,hot,1,0.0395612,9191424,592168,226600,4428160,4428160,0,27008,2992,2820,24,2,2520,26691,True
1,4,10000,30000,4,2,4,hot,1,0.0579592,12533760,475080,109512,7654904,7654904,0,24469,5531,4691,18,2,3807,23531,True
1,1,10000,30000,4,4,4,hot,1,0.0153911,12615680,475080,109512,7654904,7654904,0,24469,5531,4676,17,16,5,134,True
1,2,10000,30000,4,4,8,hot,1,0.0117632,9256960,592168,226600,4428160,4428160,0,27008,2992,2820,22,16,76,2669,True
1,3,10000,30000,4,4,2,hot,1,0.0213232,18120704,412608,47040,12802888,12802888,0,20417,9583,6720,14,16,0,0,True
1,4,10000,30000,4,4,0,hot,1,0.0274363,45826048,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,1,10000,30000,4,4,4,hot,1,0.0782842,12599296,475080,109512,7654904,7654904,0,24469,5531,4733,18,2,3846,23537,True
1,2,10000,30000,4,4,8,hot,1,0.051334,9256960,592168,226600,4428160,4428160,0,27008,2992,2840,22,2,2531,26675,True
1,3,10000,30000,4,4,2,hot,1,0.0965276,18235392,412608,47040,12802888,12802888,0,20417,9583,6717,13,2,4550,18166,True
1,4,10000,30000,4,4,0,hot,1,0.0278462,45826048,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,1,10000,30000,4,1,8,zipfian,0,0.00944192,8650752,590568,225000,4068520,4068520,0,27251,2749,2578,81,16,0,0,True
1,2,10000,30000,4,1,0,zipfian,0,0.0249316,8683520,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,3,10000,30000,4,1,4,zipfian,0,0.0161798,8683520,469048,103480,7624456,7624456,0,24491,5509,4604,54,16,0,0,True
1,4,10000,30000,4,1,2,zipfian,0,0.0227098,8601600,411824,46256,12816248,12816248,0,20407,9593,6619,29,16,0,0,True
1,1,10000,30000,4,1,8,zipfian,0,0.0100057,8716288,590568,225000,4068520,4068520,0,27251,2749,2576,81,2,0,0,True
1,2,10000,30000,4,1,0,zipfian,0,0.0271815,8683520,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,3,10000,30000,4,1,4,zipfian,0,0.0150564,8617984,469048,103480,7624456,7624456,0,24491,5509,4559,54,2,0,0,True
1,4,10000,30000,4,1,2,zipfian,0,0.0235477,8683520,411824,46256,12816248,12816248,0,20407,9593,6582,29,2,0,0,True
1,1,10000,30000,4,2,0,zipfian,0,0.0256759,8634368,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,2,10000,30000,4,2,2,zipfian,0,0.0715084,8667136,411824,46256,12816248,12816248,0,20407,9593,6628,31,2,4493,18243,True
1,3,10000,30000,4,2,8,zipfian,0,0.0364078,8617984,590568,225000,4068520,4068520,0,27251,2749,2597,79,2,2359,27007,True
1,4,10000,30000,4,2,4,zipfian,0,0.0550505,8601600,469048,103480,7624456,7624456,0,24491,5509,4547,54,2,3651,23576,True
1,1,10000,30000,4,2,0,zipfian,0,0.0251512,8683520,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,2,10000,30000,4,2,2,zipfian,0,0.0217561,8601600,411824,46256,12816248,12816248,0,20407,9593,6622,31,16,13,276,True
1,3,10000,30000,4,2,8,zipfian,0,0.0149023,8650752,590568,225000,4068520,4068520,0,27251,2749,2592,69,16,476,13115,True
1,4,10000,30000,4,2,4,zipfian,0,0.0175175,8650752,469048,103480,7624456,7624456,0,24491,5509,4535,54,16,177,3942,True
1,1,10000,30000,4,4,4,zipfian,0,0.0751919,8699904,469048,103480,7624456,7624456,0,24491,5509,4579,54,2,3687,23578,True
1,2,10000,30000,4,4,8,zipfian,0,0.0464507,8683520,590568,225000,4068520,4068520,0,27251,2749,2572,73,2,2295,26971,True
1,3,10000,30000,4,4,2,zipfian,0,0.091552,8667136,411824,46256,12816248,12816248,0,20407,9593,6551,31,2,4470,18295,True
1,4,10000,30000,4,4,0,zipfian,0,0.0267262,8683520,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,1,10000,30000,4,4,4,zipfian,0,0.01781,8601600,469048,103480,7624456,7624456,0,24491,5509,4540,54,16,171,3918,True
1,2,10000,30000,4,4,8,zipfian,0,0.0163642,8667136,590568,225000,4068520,4068520,0,27251,2749,2581,81,16,484,13543,True
1,3,10000,30000,4,4,2,zipfian,0,0.0230002,8601600,411824,46256,12816248,12816248,0,20407,9593,6648,31,16,13,277,True
1,4,10000,30000,4,4,0,zipfian,0,0.0255709,8699904,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,1,10000,30000,4,4,8,zipfian,1,0.0171045,9043968,590568,225000,4068520,4068520,0,27251,2749,2597,86,16,481,13479,True
1,2,10000,30000,4,4,0,zipfian,1,0.0286207,46006272,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,3,10000,30000,4,4,4,zipfian,1,0.0187848,12713984,469048,103480,7624456,7624456,0,24491,5509,4551,54,16,170,3827,True
1,4,10000,30000,4,4,2,zipfian,1,0.0233798,18432000,411824,46256,12816248,12816248,0,20407,9593,6619,29,16,17,323,True
1,1,10000,30000,4,4,8,zipfian,1,0.0474498,9027584,590568,225000,4068520,4068520,0,27251,2749,2605,81,2,2356,26999,True
1,2,10000,30000,4,4,0,zipfian,1,0.0290988,46006272,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,3,10000,30000,4,4,4,zipfian,1,0.0754235,12713984,469048,103480,7624456,7624456,0,24491,5509,4577,54,2,3687,23582,True
1,4,10000,30000,4,4,2,zipfian,1,0.0917917,18399232,411824,46256,12816248,12816248,0,20407,9593,6596,29,2,4480,18269,True
1,1,10000,30000,4,2,2,zipfian,1,0.0244344,18300928,411824,46256,12816248,12816248,0,20407,9593,6632,29,16,16,327,True
1,2,10000,30000,4,2,4,zipfian,1,0.0173379,12664832,469048,103480,7624456,7624456,0,24491,5509,4570,54,16,142,3196,True
1,3,10000,30000,4,2,0,zipfian,1,0.0290154,45973504,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,4,10000,30000,4,2,8,zipfian,1,0.0151753,8978432,590568,225000,4068520,4068520,0,27251,2749,2563,81,16,488,13577,True
1,1,10000,30000,4,2,2,zipfian,1,0.0713008,18317312,411824,46256,12816248,12816248,0,20407,9593,6623,29,2,4472,18236,True
1,2,10000,30000,4,2,4,zipfian,1,0.0567282,12664832,469048,103480,7624456,7624456,0,24491,5509,4581,54,2,3753,23646,True
1,3,10000,30000,4,2,0,zipfian,1,0.0290547,45973504,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,4,10000,30000,4,2,8,zipfian,1,0.0394185,8978432,590568,225000,4068520,4068520,0,27251,2749,2565,81,2,2301,26984,True
1,1,10000,30000,4,1,0,zipfian,1,0.039208,45957120,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
1,2,10000,30000,4,1,2,zipfian,1,0.0297955,18268160,411824,46256,12816248,12816248,0,20407,9593,6560,33,2,0,0,True
1,3,10000,30000,4,1,8,zipfian,1,0.0138702,8929280,590568,225000,4068520,4068520,0,27251,2749,2586,81,2,0,0,True
1,4,10000,30000,4,1,4,zipfian,1,0.0229248,12615680,469048,103480,7624456,7624456,0,24491,5509,4541,54,2,0,0,True
1,1,10000,30000,4,1,0,zipfian,1,0.0380055,45957120,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
1,2,10000,30000,4,1,2,zipfian,1,0.0307365,18268160,411824,46256,12816248,12816248,0,20407,9593,6671,31,16,0,0,True
1,3,10000,30000,4,1,8,zipfian,1,0.0130829,8929280,590568,225000,4068520,4068520,0,27251,2749,2594,81,16,0,0,True
1,4,10000,30000,4,1,4,zipfian,1,0.0184559,12615680,469048,103480,7624456,7624456,0,24491,5509,4555,54,16,0,0,True
2,1,10000,30000,4,4,2,uniform,0,0.0325914,8601600,413224,47656,12796208,12796208,0,20422,9578,6507,181,16,28,881,True
2,2,10000,30000,4,4,4,uniform,0,0.0258302,8634368,471752,106184,7598160,7598160,0,24510,5490,4510,232,16,177,5107,True
2,3,10000,30000,4,4,0,uniform,0,0.0272911,8650752,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
2,4,10000,30000,4,4,8,uniform,0,0.0214632,8601600,593168,227600,4098120,4098120,0,27231,2769,2543,236,16,421,14553,True
2,1,10000,30000,4,4,2,uniform,0,0.108465,8601600,413224,47656,12796208,12796208,0,20422,9578,6578,181,2,4401,18244,True
2,2,10000,30000,4,4,4,uniform,0,0.0914692,8601600,471752,106184,7598160,7598160,0,24510,5490,4520,229,2,3616,23604,True
2,3,10000,30000,4,4,0,uniform,0,0.0366158,8634368,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
2,4,10000,30000,4,4,8,uniform,0,0.053408,8601600,593168,227600,4098120,4098120,0,27231,2769,2532,237,2,2224,26922,True
2,1,10000,30000,4,2,8,uniform,0,0.018201,8601600,593168,227600,4098120,4098120,0,27231,2769,2529,240,16,459,15392,True
2,2,10000,30000,4,2,0,uniform,0,0.0355727,8601600,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
2,3,10000,30000,4,2,4,uniform,0,0.0227548,8601600,471752,106184,7598160,7598160,0,24510,5490,4516,237,16,186,5332,True
2,4,10000,30000,4,2,2,uniform,0,0.0310814,8601600,413224,47656,12796208,12796208,0,20422,9578,6557,181,16,31,955,True
2,1,10000,30000,4,2,8,uniform,0,0.0424564,8601600,593168,227600,4098120,4098120,0,27231,2769,2531,237,2,2232,26932,True
2,2,10000,30000,4,2,0,uniform,0,0.0349462,8617984,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
2,3,10000,30000,4,2,4,uniform,0,0.0631417,8601600,471752,106184,7598160,7598160,0,24510,5490,4507,232,2,3569,23572,True
2,4,10000,30000,4,2,2,uniform,0,0.0669172,8601600,413224,47656,12796208,12796208,0,20422,9578,6531,181,2,4411,18300,True
2,1,10000,30000,4,1,4,uniform,0,0.019366,8650752,471752,106184,7598160,7598160,0,24510,5490,4469,227,2,0,0,True
2,2,10000,30000,4,1,8,uniform,0,0.0122265,8699904,593168,227600,4098120,4098120,0,27231,2769,2535,238,2,0,0,True
2,3,10000,30000,4,1,2,uniform,0,0.0235979,8601600,413224,47656,12796208,12796208,0,20422,9578,6543,181,2,0,0,True
2,4,10000,30000,4,1,0,uniform,0,0.0273129,8634368,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
2,1,10000,30000,4,1,4,uniform,0,0.0169952,8650752,471752,106184,7598160,7598160,0,24510,5490,4471,228,16,0,0,True
2,2,10000,30000,4,1,8,uniform,0,0.010314,8617984,593168,227600,4098120,4098120,0,27231,2769,2543,238,16,0,0,True
2,3,10000,30000,4,1,2,uniform,0,0.0263531,8634368,413224,47656,12796208,12796208,0,20422,9578,6585,131,16,0,0,True
2,4,10000,30000,4,1,0,uniform,0,0.0284204,8699904,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
2,1,10000,30000,4,1,8,uniform,1,0.0109171,8781824,593168,227600,4098120,4098120,0,27231,2769,2547,235,16,0,0,True
2,2,10000,30000,4,1,0,uniform,1,0.029567,45776896,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
2,3,10000,30000,4,1,4,uniform,1,0.0165547,12419072,471752,106184,7598160,7598160,0,24510,5490,4496,235,16,0,0,True
2,4,10000,30000,4,1,2,uniform,1,0.0240508,18071552,413224,47656,12796208,12796208,0,20422,9578,6517,181,16,0,0,True
2,1,10000,30000,4,1,8,uniform,1,0.0108567,8781824,593168,227600,4098120,4098120,0,27231,2769,2525,238,2,0,0,True
2,2,10000,30000,4,1,0,uniform,1,0.0291431,45776896,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
2,3,10000,30000,4,1,4,uniform,1,0.0163352,12419072,471752,106184,7598160,7598160,0,24510,5490,4521,233,2,0,0,True
2,4,10000,30000,4,1,2,uniform,1,0.0247385,18071552,413224,47656,12796208,12796208,0,20422,9578,6571,125,2,0,0,True
2,1,10000,30000,4,2,0,uniform,1,0.0296348,45793280,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
2,2,10000,30000,4,2,2,uniform,1,0.0714775,18120704,413224,47656,12796208,12796208,0,20422,9578,6576,181,2,4431,18276,True
2,3,10000,30000,4,2,8,uniform,1,0.0354776,8830976,593168,227600,4098120,4098120,0,27231,2769,2511,236,2,2234,26954,True
2,4,10000,30000,4,2,4,uniform,1,0.0563247,12484608,471752,106184,7598160,7598160,0,24510,5490,4462,229,2,3566,23614,True
2,1,10000,30000,4,2,0,uniform,1,0.0291554,45793280,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
2,2,10000,30000,4,2,2,uniform,1,0.0253488,18137088,413224,47656,12796208,12796208,0,20422,9578,6583,181,16,32,987,True
2,3,10000,30000,4,2,8,uniform,1,0.015168,8847360,593168,227600,4098120,4098120,0,27231,2769,2527,236,16,451,15019,True
2,4,10000,30000,4,2,4,uniform,1,0.0189219,12468224,471752,106184,7598160,7598160,0,24510,5490,4526,242,16,182,5232,True
2,1,10000,30000,4,4,4,uniform,1,0.0732547,12533760,471752,106184,7598160,7598160,0,24510,5490,4508,239,2,3571,23572,True
2,2,10000,30000,4,4,8,uniform,1,0.0448083,8880128,593168,227600,4098120,4098120,0,27231,2769,2532,239,2,2225,26924,True
2,3,10000,30000,4,4,2,uniform,1,0.0928642,18219008,413224,47656,12796208,12796208,0,20422,9578,6568,181,2,4388,18242,True
2,4,10000,30000,4,4,0,uniform,1,0.0310038,45826048,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
2,1,10000,30000,4,4,4,uniform,1,0.020232,12517376,471752,106184,7598160,7598160,0,24510,5490,4476,231,16,194,5480,True
2,2,10000,30000,4,4,8,uniform,1,0.017264,8912896,593168,227600,4098120,4098120,0,27231,2769,2528,235,16,444,14920,True
2,3,10000,30000,4,4,2,uniform,1,0.0250877,18186240,413224,47656,12796208,12796208,0,20422,9578,6527,177,16,29,907,True
2,4,10000,30000,4,4,0,uniform,1,0.0305525,45826048,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
2,1,10000,30000,4,1,8,hot,0,0.00931896,8699904,592168,226600,4428160,4428160,0,27008,2992,2784,22,2,0,0,True
2,2,10000,30000,4,1,0,hot,0,0.0231798,8716288,365568,0,38400000,38400000,0,0,30000,0,0,2,0,0,True
2,3,10000,30000,4,1,4,hot,0,0.0143976,8601600,475080,109512,7654904,7654904,0,24469,5531,4635,17,2,0,0,True
2,4,10000,30000,4,1,2,hot,0,0.0203245,8716288,412608,47040,12802888,12802888,0,20417,9583,6792,14,2,0,0,True
2,1,10000,30000,4,1,8,hot,0,0.00965167,8634368,592168,226600,4428160,4428160,0,27008,2992,2812,24,16,0,0,True
2,2,10000,30000,4,1,0,hot,0,0.0229629,8601600,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
2,3,10000,30000,4,1,4,hot,0,0.0171511,8716288,475080,109512,7654904,7654904,0,24469,5531,4670,17,16,0,0,True
2,4,10000,30000,4,1,2,hot,0,0.0243572,8601600,412608,47040,12802888,12802888,0,20417,9583,6792,14,16,0,0,True
2,1,10000,30000,4,2,0,hot,0,0.0300337,8601600,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,True
2,2,10000,30000,4,2,2,hot,0,0.0267979,8601600,412608,47040,12802888,12802888,0,20417,9583,6726,16,16,1,17,True
2,3,10000,30000,4,2,8,hot,0,0.0142624,8650752,592168,226600,4428160,4428160,0,27008,2992,2792,23,16,94,3253,True
