run,order,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,reference_ok
1,1,100000,300000,4,1,2,uniform,0,0.0648397,18448384,4123832,466872,85933384,85933384,0,204177,95823,1929,256,16,0,1,1910,0,0,True
1,2,100000,300000,4,1,4,uniform,0,0.0537748,19185664,4698416,1041456,54719680,54719680,0,245000,55000,1637,256,16,0,1,1586,0,0,True
1,3,100000,300000,4,1,0,uniform,0,0.0983074,18022400,3656960,0,225572096,225572096,0,0,300000,2940,256,16,0,1,2940,0,0,True
1,4,100000,300000,4,1,8,uniform,0,0.044321,20594688,5882360,2225400,32026296,32026296,0,272209,27791,1427,256,16,0,1,1284,0,0,True
1,1,100000,300000,4,1,2,uniform,0,0.300906,18120704,4123832,466872,152550216,152550216,0,204177,95823,65019,255,16,0,0,0,0,0,True
1,2,100000,300000,4,1,4,uniform,0,0.20928,18792448,4698416,1041456,90200000,90200000,0,245000,55000,44980,256,16,0,0,0,0,0,True
1,3,100000,300000,4,1,0,uniform,0,0.401666,17514496,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
1,4,100000,300000,4,1,8,uniform,0,0.131351,20283392,5882360,2225400,48245176,48245176,0,272209,27791,25692,256,16,0,0,0,0,0,True
1,1,100000,300000,4,2,4,uniform,0,0.226666,18923520,4698416,1041456,90200000,90200000,0,245000,55000,45006,255,16,1949,0,0,0,54272,True
1,2,100000,300000,4,2,8,uniform,0,0.175763,20496384,5882360,2225400,48245176,48245176,0,272209,27791,25674,256,16,4486,0,0,0,149679,True
1,3,100000,300000,4,2,2,uniform,0,0.302503,18530304,4123832,466872,152550216,152550216,0,204177,95823,64950,250,16,366,0,0,0,10689,True
1,4,100000,300000,4,2,0,uniform,0,0.411817,17547264,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
1,1,100000,300000,4,2,4,uniform,0,0.0761322,19415040,4698416,1041456,54806976,54806976,0,245000,55000,1668,256,16,1614,1,1617,54930,299555,True
1,2,100000,300000,4,2,8,uniform,0,0.0641635,21118976,5882360,2225400,32012728,32012728,0,272209,27791,1416,256,16,1390,1,1279,27767,299781,True
1,3,100000,300000,4,2,2,uniform,0,0.092476,18710528,4123832,466872,85933128,85933128,0,204177,95823,1931,256,16,1851,1,1917,95617,299336,True
1,4,100000,300000,4,2,0,uniform,0,0.141286,18235392,3656960,0,225091072,225091072,0,0,300000,2886,256,16,2731,1,2886,298704,298704,True
1,1,100000,300000,4,4,0,uniform,0,0.407683,17580032,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
1,2,100000,300000,4,4,2,uniform,0,0.306391,18579456,4123832,466872,152550216,152550216,0,204177,95823,64779,255,16,355,0,0,0,10457,True
1,3,100000,300000,4,4,8,uniform,0,0.199719,20627456,5882360,2225400,48245176,48245176,0,272209,27791,25678,256,16,4460,0,0,0,149290,True
1,4,100000,300000,4,4,4,uniform,0,0.254253,19349504,4698416,1041456,90200000,90200000,0,245000,55000,44939,256,16,1908,0,0,0,53597,True
1,1,100000,300000,4,4,0,uniform,0,0.155243,18513920,3656960,0,225359104,225359104,0,0,300000,2909,256,16,2759,1,2909,298773,298773,True
1,2,100000,300000,4,4,2,uniform,0,0.103788,19021824,4123832,466872,86060872,86060872,0,204177,95823,1962,256,16,1887,1,1942,95625,299391,True
1,3,100000,300000,4,4,8,uniform,0,0.0751021,21037056,5882360,2225400,32030904,32030904,0,272209,27791,1437,256,16,1404,1,1298,27753,299702,True
