run,order,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,reference_ok
1,1,10000,30000,4,1,2,uniform,0,0.00610521,8650752,413224,47656,6925872,6925872,0,20422,9578,443,237,16,0,1,437,0,0,True
1,2,10000,30000,4,1,4,uniform,0,0.00480313,8601600,471752,106184,4445520,4445520,0,24510,5490,354,238,16,0,1,345,0,0,True
1,3,10000,30000,4,1,0,uniform,0,0.00925758,8617984,365568,0,17949952,17949952,0,0,30000,773,112,16,0,1,773,0,0,True
1,4,10000,30000,4,1,8,uniform,0,0.00409817,8601600,593168,227600,2647112,2647112,0,27231,2769,280,240,16,0,1,260,0,0,True
1,1,10000,30000,4,1,2,uniform,0,0.0245023,8601600,413224,47656,12796208,12796208,0,20422,9578,6554,181,16,0,0,0,0,0,True
1,2,10000,30000,4,1,4,uniform,0,0.0182062,8601600,471752,106184,7598160,7598160,0,24510,5490,4472,237,16,0,0,0,0,0,True
1,3,10000,30000,4,1,0,uniform,0,0.0283619,8601600,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,4,10000,30000,4,1,8,uniform,0,0.0111365,8716288,593168,227600,4098120,4098120,0,27231,2769,2527,239,16,0,0,0,0,0,True
1,1,10000,30000,4,2,4,uniform,0,0.0195226,8634368,471752,106184,7598160,7598160,0,24510,5490,4499,229,16,200,0,0,0,5529,True
1,2,10000,30000,4,2,8,uniform,0,0.0153995,8601600,593168,227600,4098120,4098120,0,27231,2769,2533,233,16,422,0,0,0,14784,True
1,3,10000,30000,4,2,2,uniform,0,0.0273812,8601600,413224,47656,12796208,12796208,0,20422,9578,6538,181,16,39,0,0,0,1105,True
1,4,10000,30000,4,2,0,uniform,0,0.0290045,8699904,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,1,10000,30000,4,2,4,uniform,0,0.00954246,8601600,471752,106184,4424016,4424016,0,24510,5490,350,243,16,329,1,346,5454,29788,True
1,2,10000,30000,4,2,8,uniform,0,0.00726013,8601600,593168,227600,2649416,2649416,0,27231,2769,283,239,16,268,1,257,2760,29885,True
1,3,10000,30000,4,2,2,uniform,0,0.0112413,8601600,413224,47656,7027760,7027760,0,20422,9578,469,240,16,436,1,466,9476,29676,True
1,4,10000,30000,4,2,0,uniform,0,0.0169821,8634368,365568,0,17838848,17838848,0,0,30000,749,120,16,645,1,749,29010,29010,True
1,1,10000,30000,4,4,0,uniform,0,0.0272991,8716288,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,2,10000,30000,4,4,2,uniform,0,0.0284938,8601600,413224,47656,12796208,12796208,0,20422,9578,6572,181,16,32,0,0,0,991,True
1,3,10000,30000,4,4,8,uniform,0,0.0204715,8601600,593168,227600,4098120,4098120,0,27231,2769,2541,236,16,436,0,0,0,14723,True
1,4,10000,30000,4,4,4,uniform,0,0.0200873,8601600,471752,106184,7598160,7598160,0,24510,5490,4481,231,16,182,0,0,0,5121,True
1,1,10000,30000,4,4,0,uniform,0,0.0211705,8880128,365568,0,17878784,17878784,0,0,30000,765,134,16,648,1,765,28880,28880,True
1,2,10000,30000,4,4,2,uniform,0,0.0145509,8617984,413224,47656,6966320,6966320,0,20422,9578,464,226,16,429,1,456,9494,29684,True
1,3,10000,30000,4,4,8,uniform,0,0.00937342,8617984,593168,227600,2626888,2626888,0,27231,2769,266,238,16,258,1,254,2757,29935,True
1,4,10000,30000,4,4,4,uniform,0,0.0124141,8601600,471752,106184,4424528,4424528,0,24510,5490,356,237,16,332,1,343,5444,29759,True
1,1,10000,30000,4,4,2,uniform,1,0.0149549,11927552,413224,47656,6978608,6978608,0,20422,9578,462,226,16,435,1,460,9501,29744,True
1,2,10000,30000,4,4,4,uniform,1,0.0121905,9240576,471752,106184,4462160,4462160,0,24510,5490,359,239,16,341,1,350,5454,29848,True
1,3,10000,30000,4,4,0,uniform,1,0.0229473,23166976,365568,0,17978880,17978880,0,0,30000,779,124,16,662,1,779,28887,28887,True
1,4,10000,30000,4,4,8,uniform,1,0.00940583,8601600,593168,227600,2637640,2637640,0,27231,2769,270,241,16,259,1,254,2758,29903,True
1,1,10000,30000,4,4,2,uniform,1,0.0304008,18219008,413224,47656,12796208,12796208,0,20422,9578,6506,138,16,29,0,0,0,917,True
1,2,10000,30000,4,4,4,uniform,1,0.0207046,12533760,471752,106184,7598160,7598160,0,24510,5490,4503,232,16,182,0,0,0,5203,True
1,3,10000,30000,4,4,0,uniform,1,0.0311823,45826048,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,4,10000,30000,4,4,8,uniform,1,0.0175624,8912896,593168,227600,4098120,4098120,0,27231,2769,2551,236,16,430,0,0,0,14602,True
1,1,10000,30000,4,2,8,uniform,1,0.00720388,8601600,593168,227600,2617928,2617928,0,27231,2769,265,239,16,252,1,248,2757,29908,True
