run,order,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,reference_ok
1,1,10000,30000,4,1,2,uniform,0,0.0220772,8683520,413224,47656,12796208,12796208,0,20422,9578,6539,181,True
1,2,10000,30000,4,1,4,uniform,0,0.0162496,8601600,471752,106184,7598160,7598160,0,24510,5490,4511,239,True
1,3,10000,30000,4,1,0,uniform,0,0.0265762,8699904,365568,0,38400000,38400000,0,0,30000,0,0,True
1,4,10000,30000,4,1,8,uniform,0,0.0103825,8601600,593168,227600,4098120,4098120,0,27231,2769,2543,238,True
1,1,10000,30000,4,2,4,uniform,0,0.0547757,8601600,471752,106184,7598160,7598160,0,24510,5490,4513,233,True
1,2,10000,30000,4,2,8,uniform,0,0.0351475,8601600,593168,227600,4098120,4098120,0,27231,2769,2535,238,True
1,3,10000,30000,4,2,2,uniform,0,0.0725777,8601600,413224,47656,12796208,12796208,0,20422,9578,6538,181,True
1,4,10000,30000,4,2,0,uniform,0,0.0250954,8601600,365568,0,38400000,38400000,0,0,30000,0,0,True
1,1,10000,30000,4,4,0,uniform,0,0.0254914,8601600,365568,0,38400000,38400000,0,0,30000,0,0,True
1,2,10000,30000,4,4,2,uniform,0,0.0893508,8716288,413224,47656,12796208,12796208,0,20422,9578,6543,181,True
1,3,10000,30000,4,4,8,uniform,0,0.0448498,8601600,593168,227600,4098120,4098120,0,27231,2769,2534,240,True
1,4,10000,30000,4,4,4,uniform,0,0.0728059,8601600,471752,106184,7598160,7598160,0,24510,5490,4493,236,True
1,1,10000,30000,4,4,2,uniform,1,0.0934725,18219008,413224,47656,12796208,12796208,0,20422,9578,6551,181,True
1,2,10000,30000,4,4,4,uniform,1,0.0734313,12533760,471752,106184,7598160,7598160,0,24510,5490,4481,230,True
1,3,10000,30000,4,4,0,uniform,1,0.0293985,45826048,365568,0,38400000,38400000,0,0,30000,0,0,True
1,4,10000,30000,4,4,8,uniform,1,0.0460121,8912896,593168,227600,4098120,4098120,0,27231,2769,2528,237,True
1,1,10000,30000,4,2,8,uniform,1,0.0351062,8830976,593168,227600,4098120,4098120,0,27231,2769,2543,237,True
1,2,10000,30000,4,2,0,uniform,1,0.029934,45793280,365568,0,38400000,38400000,0,0,30000,0,0,True
1,3,10000,30000,4,2,4,uniform,1,0.0557703,12468224,471752,106184,7598160,7598160,0,24510,5490,4519,239,True
1,4,10000,30000,4,2,2,uniform,1,0.0721351,18120704,413224,47656,12796208,12796208,0,20422,9578,6554,181,True
1,1,10000,30000,4,1,4,uniform,1,0.0167795,12419072,471752,106184,7598160,7598160,0,24510,5490,4505,232,True
1,2,10000,30000,4,1,8,uniform,1,0.0104902,8781824,593168,227600,4098120,4098120,0,27231,2769,2540,234,True
1,3,10000,30000,4,1,2,uniform,1,0.0246296,18071552,413224,47656,12796208,12796208,0,20422,9578,6518,124,True
1,4,10000,30000,4,1,0,uniform,1,0.0305451,45776896,365568,0,38400000,38400000,0,0,30000,0,0,True
1,1,10000,30000,4,4,2,hot,0,0.0948641,8650752,412608,47040,12802888,12802888,0,20417,9583,6771,16,True
1,2,10000,30000,4,4,4,hot,0,0.075079,8683520,475080,109512,7654904,7654904,0,24469,5531,4679,20,True
1,3,10000,30000,4,4,0,hot,0,0.0248202,8634368,365568,0,38400000,38400000,0,0,30000,0,0,True
1,4,10000,30000,4,4,8,hot,0,0.0506875,8634368,592168,226600,4428160,4428160,0,27008,2992,2836,24,True
1,1,10000,30000,4,2,8,hot,0,0.0383795,8617984,592168,226600,4428160,4428160,0,27008,2992,2812,22,True
1,2,10000,30000,4,2,0,hot,0,0.0236219,8650752,365568,0,38400000,38400000,0,0,30000,0,0,True
1,3,10000,30000,4,2,4,hot,0,0.0569953,8634368,475080,109512,7654904,7654904,0,24469,5531,4683,20,True
1,4,10000,30000,4,2,2,hot,0,0.06962,8650752,412608,47040,12802888,12802888,0,20417,9583,6794,14,True
1,1,10000,30000,4,1,4,hot,0,0.013681,8650752,475080,109512,7654904,7654904,0,24469,5531,4663,17,True
1,2,10000,30000,4,1,8,hot,0,0.00922562,8716288,592168,226600,4428160,4428160,0,27008,2992,2790,22,True
1,3,10000,30000,4,1,2,hot,0,0.0194709,8667136,412608,47040,12802888,12802888,0,20417,9583,6813,14,True
1,4,10000,30000,4,1,0,hot,0,0.0232277,8667136,365568,0,38400000,38400000,0,0,30000,0,0,True
1,1,10000,30000,4,1,8,hot,1,0.0101204,9142272,592168,226600,4428160,4428160,0,27008,2992,2799,23,True
1,2,10000,30000,4,1,0,hot,1,0.0277396,45776896,365568,0,38400000,38400000,0,0,30000,0,0,True
1,3,10000,30000,4,1,4,hot,1,0.015431,12484608,475080,109512,7654904,7654904,0,24469,5531,4664,20,True
1,4,10000,30000,4,1,2,hot,1,0.0218186,18071552,412608,47040,12802888,12802888,0,20417,9583,6810,13,True
1,1,10000,30000,4,2,0,hot,1,0.0275163,45793280,365568,0,38400000,38400000,0,0,30000,0,0,True
1,2,10000,30000,4,2,2,hot,1,0.0718826,18137088,412608,47040,12802888,12802888,0,20417,9583,6791,14,True
1,3,10000,30000,4,2,8,hot,1,0.0389932,9175040,592168,226600,4428160,4428160,0,27008,2992,2809,23,True
1,4,10000,30000,4,2,4,hot,1,0.0581957,12517376,475080,109512,7654904,7654904,0,24469,5531,4647,21,True
1,1,10000,30000,4,4,4,hot,1,0.0787549,12599296,475080,109512,7654904,7654904,0,24469,5531,4652,18,True
1,2,10000,30000,4,4,8,hot,1,0.0506059,9273344,592168,226600,4428160,4428160,0,27008,2992,2831,22,True
1,3,10000,30000,4,4,2,hot,1,0.0957748,18219008,412608,47040,12802888,12802888,0,20417,9583,6817,15,True
1,4,10000,30000,4,4,0,hot,1,0.0273763,45826048,365568,0,38400000,38400000,0,0,30000,0,0,True
1,1,10000,30000,4,1,8,zipfian,0,0.00978083,8699904,590568,225000,4068520,4068520,0,27251,2749,2594,66,True
1,2,10000,30000,4,1,0,zipfian,0,0.0268598,8601600,365568,0,38400000,38400000,0,0,30000,0,0,True
1,3,10000,30000,4,1,4,zipfian,0,0.0151788,8683520,469048,103480,7624456,7624456,0,24491,5509,4561,54,True
1,4,10000,30000,4,1,2,zipfian,0,0.0219951,8683520,411824,46256,12816248,12816248,0,20407,9593,6625,29,True
1,1,10000,30000,4,2,0,zipfian,0,0.0258839,8601600,365568,0,38400000,38400000,0,0,30000,0,0,True
1,2,10000,30000,4,2,2,zipfian,0,0.0707109,8617984,411824,46256,12816248,12816248,0,20407,9593,6611,29,True
1,3,10000,30000,4,2,8,zipfian,0,0.0357245,8634368,590568,225000,4068520,4068520,0,27251,2749,2579,81,True
1,4,10000,30000,4,2,4,zipfian,0,0.0554605,8634368,469048,103480,7624456,7624456,0,24491,5509,4578,41,True
1,1,10000,30000,4,4,4,zipfian,0,0.0741774,8601600,469048,103480,7624456,7624456,0,24491,5509,4552,54,True
1,2,10000,30000,4,4,8,zipfian,0,0.0446921,8601600,590568,225000,4068520,4068520,0,27251,2749,2569,81,True
1,3,10000,30000,4,4,2,zipfian,0,0.0907945,8601600,411824,46256,12816248,12816248,0,20407,9593,6624,31,True
1,4,10000,30000,4,4,0,zipfian,0,0.0256965,8683520,365568,0,38400000,38400000,0,0,30000,0,0,True
1,1,10000,30000,4,4,8,zipfian,1,0.0464018,9043968,590568,225000,4068520,4068520,0,27251,2749,2574,58,True
1,2,10000,30000,4,4,0,zipfian,1,0.02931,46006272,365568,0,38400000,38400000,0,0,30000,0,0,True
1,3,10000,30000,4,4,4,zipfian,1,0.0741085,12730368,469048,103480,7624456,7624456,0,24491,5509,4549,54,True
1,4,10000,30000,4,4,2,zipfian,1,0.0927352,18399232,411824,46256,12816248,12816248,0,20407,9593,6611,29,True
1,1,10000,30000,4,2,2,zipfian,1,0.0704464,18317312,411824,46256,12816248,12816248,0,20407,9593,6548,31,True
1,2,10000,30000,4,2,4,zipfian,1,0.0567731,12664832,469048,103480,7624456,7624456,0,24491,5509,4602,54,True
1,3,10000,30000,4,2,0,zipfian,1,0.0282935,45973504,365568,0,38400000,38400000,0,0,30000,0,0,True
1,4,10000,30000,4,2,8,zipfian,1,0.0371195,8962048,590568,225000,4068520,4068520,0,27251,2749,2563,81,True
1,1,10000,30000,4,1,0,zipfian,1,0.0289899,45957120,365568,0,38400000,38400000,0,0,30000,0,0,True
1,2,10000,30000,4,1,2,zipfian,1,0.0226903,18268160,411824,46256,12816248,12816248,0,20407,9593,6612,29,True
1,3,10000,30000,4,1,8,zipfian,1,0.00972862,8929280,590568,225000,4068520,4068520,0,27251,2749,2598,81,True
1,4,10000,30000,4,1,4,zipfian,1,0.0162618,12615680,469048,103480,7624456,7624456,0,24491,5509,4567,54,True
2,1,10000,30000,4,4,2,uniform,0,0.0919112,8699904,413224,47656,12796208,12796208,0,20422,9578,6586,163,True
2,2,10000,30000,4,4,4,uniform,0,0.0709353,8601600,471752,106184,7598160,7598160,0,24510,5490,4505,236,True
2,3,10000,30000,4,4,0,uniform,0,0.0262823,8650752,365568,0,38400000,38400000,0,0,30000,0,0,True
2,4,10000,30000,4,4,8,uniform,0,0.0439681,8601600,593168,227600,4098120,4098120,0,27231,2769,2538,239,True
2,1,10000,30000,4,2,8,uniform,0,0.0342855,8601600,593168,227600,4098120,4098120,0,27231,2769,2508,235,True
2,2,10000,30000,4,2,0,uniform,0,0.0263969,8634368,365568,0,38400000,38400000,0,0,30000,0,0,True
2,3,10000,30000,4,2,4,uniform,0,0.0560243,8601600,471752,106184,7598160,7598160,0,24510,5490,4531,230,True
2,4,10000,30000,4,2,2,uniform,0,0.0750575,8601600,413224,47656,12796208,12796208,0,20422,9578,6536,186,True
2,1,10000,30000,4,1,4,uniform,0,0.0168596,8601600,471752,106184,7598160,7598160,0,24510,5490,4560,235,True
2,2,10000,30000,4,1,8,uniform,0,0.0104487,8601600,593168,227600,4098120,4098120,0,27231,2769,2535,239,True
2,3,10000,30000,4,1,2,uniform,0,0.0235262,8634368,413224,47656,12796208,12796208,0,20422,9578,6528,181,True
2,4,10000,30000,4,1,0,uniform,0,0.0268513,8699904,365568,0,38400000,38400000,0,0,30000,0,0,True
2,1,10000,30000,4,1,8,uniform,1,0.0109148,8781824,593168,227600,4098120,4098120,0,27231,2769,2552,238,True
2,2,10000,30000,4,1,0,uniform,1,0.0304176,45776896,365568,0,38400000,38400000,0,0,30000,0,0,True
2,3,10000,30000,4,1,4,uniform,1,0.0172614,12419072,471752,106184,7598160,7598160,0,24510,5490,4486,240,True
2,4,10000,30000,4,1,2,uniform,1,0.0239797,18071552,413224,47656,12796208,12796208,0,20422,9578,6533,158,True
2,1,10000,30000,4,2,0,uniform,1,0.0299026,45793280,365568,0,38400000,38400000,0,0,30000,0,0,True
2,2,10000,30000,4,2,2,uniform,1,0.0682209,18137088,413224,47656,12796208,12796208,0,20422,9578,6520,181,True
2,3,10000,30000,4,2,8,uniform,1,0.0360535,8830976,593168,227600,4098120,4098120,0,27231,2769,2540,236,True
2,4,10000,30000,4,2,4,uniform,1,0.0576083,12468224,471752,106184,7598160,7598160,0,24510,5490,4448,240,True
2,1,10000,30000,4,4,4,uniform,1,0.0748721,12533760,471752,106184,7598160,7598160,0,24510,5490,4525,235,True
2,2,10000,30000,4,4,8,uniform,1,0.0454544,8896512,593168,227600,4098120,4098120,0,27231,2769,2548,241,True
2,3,10000,30000,4,4,2,uniform,1,0.0921814,18219008,413224,47656,12796208,12796208,0,20422,9578,6543,181,True
2,4,10000,30000,4,4,0,uniform,1,0.028976,45826048,365568,0,38400000,38400000,0,0,30000,0,0,True
2,1,10000,30000,4,1,8,hot,0,0.00959175,8634368,592168,226600,4428160,4428160,0,27008,2992,2798,24,True
2,2,10000,30000,4,1,0,hot,0,0.024602,8699904,365568,0,38400000,38400000,0,0,30000,0,0,True
2,3,10000,30000,4,1,4,hot,0,0.0140081,8634368,475080,109512,7654904,7654904,0,24469,5531,4703,18,True
2,4,10000,30000,4,1,2,hot,0,0.0209172,8601600,412608,47040,12802888,12802888,0,20417,9583,6778,13,True
2,1,10000,30000,4,2,0,hot,0,0.0240229,8699904,365568,0,38400000,38400000,0,0,30000,0,0,True
2,2,10000,30000,4,2,2,hot,0,0.0719618,8650752,412608,47040,12802888,12802888,0,20417,9583,6765,12,True
2,3,10000,30000,4,2,8,hot,0,0.0386042,8650752,592168,226600,4428160,4428160,0,27008,2992,2804,30,True
2,4,10000,30000,4,2,4,hot,0,0.056666,8650752,475080,109512,7654904,7654904,0,24469,5531,4684,18,True
2,1,10000,30000,4,4,4,hot,0,0.0777643,8617984,475080,109512,7654904,7654904,0,24469,5531,4682,21,True
2,2,10000,30000,4,4,8,hot,0,0.0509036,8683520,592168,226600,4428160,4428160,0,27008,2992,2811,23,True
2,3,10000,30000,4,4,2,hot,0,0.0953548,8650752,412608,47040,12802888,12802888,0,20417,9583,6843,13,True
2,4,10000,30000,4,4,0,hot,0,0.0231011,8601600,365568,0,38400000,38400000,0,0,30000,0,0,True
2,1,10000,30000,4,4,8,hot,1,0.0538323,9273344,592168,226600,4428160,4428160,0,27008,2992,2855,25,True
2,2,10000,30000,4,4,0,hot,1,0.026584,45826048,365568,0,38400000,38400000,0,0,30000,0,0,True
2,3,10000,30000,4,4,4,hot,1,0.0792073,12582912,475080,109512,7654904,7654904,0,24469,5531,4664,18,True
2,4,10000,30000,4,4,2,hot,1,0.0993075,18202624,412608,47040,12802888,12802888,0,20417,9583,6818,13,True
2,1,10000,30000,4,2,2,hot,1,0.0725497,18153472,412608,47040,12802888,12802888,0,20417,9583,6818,17,True
2,2,10000,30000,4,2,4,hot,1,0.0592701,12517376,475080,109512,7654904,7654904,0,24469,5531,4645,18,True
2,3,10000,30000,4,2,0,hot,1,0.0265962,45793280,365568,0,38400000,38400000,0,0,30000,0,0,True
2,4,10000,30000,4,2,8,hot,1,0.0393645,9191424,592168,226600,4428160,4428160,0,27008,2992,2798,23,True
2,1,10000,30000,4,1,0,hot,1,0.0265673,45776896,365568,0,38400000,38400000,0,0,30000,0,0,True
2,2,10000,30000,4,1,2,hot,1,0.0212792,18071552,412608,47040,12802888,12802888,0,20417,9583,6815,12,True
2,3,10000,30000,4,1,8,hot,1,0.0104502,9142272,592168,226600,4428160,4428160,0,27008,2992,2826,26,True
2,4,10000,30000,4,1,4,hot,1,0.0150995,12484608,475080,109512,7654904,7654904,0,24469,5531,4684,17,True
2,1,10000,30000,4,4,8,zipfian,0,0.0441292,8699904,590568,225000,4068520,4068520,0,27251,2749,2574,81,True
2,2,10000,30000,4,4,0,zipfian,0,0.0251758,8601600,365568,0,38400000,38400000,0,0,30000,0,0,True
2,3,10000,30000,4,4,4,zipfian,0,0.0740217,8617984,469048,103480,7624456,7624456,0,24491,5509,4551,43,True
2,4,10000,30000,4,4,2,zipfian,0,0.0930754,8617984,411824,46256,12816248,12816248,0,20407,9593,6595,29,True
