run,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
1,100000,300000,4,4,2,uniform,0,0.0686399,18497536,4123832,466872,85956424,85956424,0,204177,95823,1951,256,1048576,0,1,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,4,2,uniform,0,0.0717577,18956288,4123832,466872,86041416,86041416,0,204177,95823,1967,256,256,74,1,1947,6159,18944,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,4,2,uniform,0,0.0905865,18890752,4123832,466872,86018120,86018120,0,204177,95823,1967,256,128,1135,1,1949,77861,245171,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,4,2,uniform,0,0.10007,19054592,4123832,466872,85944904,85944904,0,204177,95823,1945,256,64,1550,1,1930,91540,286535,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,4,2,uniform,0,0.108296,18989056,4123832,466872,86034248,86034248,0,204177,95823,1946,256,16,1871,1,1932,95645,299390,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,2,2,uniform,0,0.0639962,18481152,4123832,466872,86117960,86117960,0,204177,95823,1942,256,1048576,0,1,1927,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,2,2,uniform,0,0.0654954,18628608,4123832,466872,85950792,85950792,0,204177,95823,1946,256,256,82,1,1932,6536,20992,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,2,2,uniform,0,0.0821061,18907136,4123832,466872,86013000,86013000,0,204177,95823,1954,256,128,1136,1,1933,78529,247120,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,2,2,uniform,0,0.0879992,18776064,4123832,466872,85934408,85934408,0,204177,95823,1919,256,64,1557,1,1911,91764,287488,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,2,2,uniform,0,0.0949952,18694144,4123832,466872,85965896,85965896,0,204177,95823,1951,256,16,1864,1,1935,95627,299321,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,1,2,uniform,0,0.0702986,18399232,4123832,466872,85971528,85971528,0,204177,95823,1935,256,16,0,1,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,4,2,hot,0,0.105672,18251776,4133128,476168,79739792,79739792,0,204194,95806,31389,24,1048576,0,1,31063,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,4,2,hot,0,0.105869,18251776,4133128,476168,79611792,79611792,0,204194,95806,31315,20,256,0,1,30972,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,4,2,hot,0,0.104512,18202624,4133128,476168,79473296,79473296,0,204194,95806,31229,22,128,0,1,30853,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,4,2,hot,0,0.104125,18219008,4133128,476168,79741840,79741840,0,204194,95806,31406,19,64,0,1,31066,0,0,0,0,0,0,0,0,0,0,0,0,0,True
