run,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
1,100000,300000,4,4,2,uniform,0,0.105766,18972672,4123832,466872,86185288,86185288,0,204177,95823,1969,256,16,1887,1,1944,95639,299341,1,2310195,26304645,35585,44084586,21011425,3722112,8003840,0,45331649,7548,True
1,100000,300000,4,4,2,uniform,0,0.104879,19005440,4123832,466872,85993288,85993288,0,204177,95823,1927,256,16,1859,1,1906,95677,299489,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,2,2,uniform,0,0.098146,18661376,4123832,466872,85943624,85943624,0,204177,95823,1928,256,16,1856,1,1907,95685,299522,1,2395836,27087442,23707,36478129,20655435,3613162,7597960,0,29333312,3712,True
1,100000,300000,4,2,2,uniform,0,0.0932088,18726912,4123832,466872,85968456,85968456,0,204177,95823,1939,256,16,1858,1,1924,95611,299262,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,1,2,uniform,0,0.0642235,18432000,4123832,466872,85898312,85898312,0,204177,95823,1934,256,16,0,1,1917,0,0,1,1449261,25349985,12510185,0,19004878,3349330,2277852,0,0,0,True
1,100000,300000,4,1,2,uniform,0,0.0645628,18448384,4123832,466872,86147656,86147656,0,204177,95823,1948,256,16,0,1,1933,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,4,2,hot,0,0.113471,18464768,4133128,476168,79701392,79701392,0,204194,95806,31424,22,16,166,1,31042,1061,3777,1,1794464,18023309,12617518,2864376,19828844,50265162,4360798,0,540297,664,True
1,100000,300000,4,4,2,hot,0,0.113689,18464768,4133128,476168,79575952,79575952,0,204194,95806,31293,22,16,166,1,30944,1064,3829,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,2,2,hot,0,0.11759,18317312,4133128,476168,79715728,79715728,0,204194,95806,31438,20,16,161,1,31060,1005,3698,1,1883835,19586368,12677347,1934125,19910581,53448255,4327812,0,340256,322,True
1,100000,300000,4,2,2,hot,0,0.114319,18317312,4133128,476168,79632784,79632784,0,204194,95806,31361,21,16,147,1,31005,955,3361,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,1,2,hot,0,0.110117,18186240,4133128,476168,79714704,79714704,0,204194,95806,31386,21,16,0,1,31042,0,0,1,1772905,17739477,13092507,0,19738816,48915232,5106138,0,0,0,True
