run,order,records,updates,clients,wait_each,native_pipeline,local_probe,blocked_probes,pipeline_threads,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,retired_nodes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
1,0,100000,300000,4,0,True,1,232085,4,1,4,hot,0,0.249311,35864576,4731384,1074424,362592872,362592872,1409358,0,65107,234893,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,1,100000,300000,4,0,True,1,4498,4,1,2,uniform,1,0.164896,201228288,4125232,468272,154921384,154921384,584196,0,202634,97366,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,2,100000,300000,4,0,True,1,200734,4,1,8,hot,0,0.219884,36732928,5874160,2217200,313332600,313332600,1212150,0,97975,202025,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,3,100000,300000,4,0,True,1,4390,4,2,2,uniform,1,0.174326,201244672,4121760,464800,154875112,154875112,584010,0,202665,97335,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,4,100000,300000,4,0,True,1,0,4,4,0,hot,0,0.310559,37601280,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,5,100000,300000,4,0,True,0,299643,4,1,8,hot,1,0.26424,528302080,3659960,3000,460277728,460277728,1797888,0,352,299648,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,6,100000,300000,4,0,True,0,278386,4,2,4,uniform,0,0.238214,40960000,3919040,262080,429139952,429139952,1670352,0,21608,278392,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,7,100000,300000,4,0,True,1,1280,4,1,8,uniform,1,0.136847,89620480,5873960,2217000,49302784,49302784,170514,0,271581,28419,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,8,100000,300000,4,0,True,0,250962,4,2,8,uniform,1,0.223107,454017024,3658560,1600,390842040,390842040,1505790,0,49035,250965,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,9,100000,300000,4,0,True,0,299902,4,2,4,hot,0,0.28324,34799616,3657064,104,460660608,460660608,1799436,0,94,299906,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,10,100000,300000,4,0,True,0,299684,4,2,8,hot,1,0.269113,528433152,3660760,3800,460338704,460338704,1798134,0,311,299689,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,11,100000,300000,4,0,True,1,168273,4,1,8,hot,1,0.211401,322486272,5887160,2230200,266129184,266129184,1022064,0,129656,170344,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,12,100000,300000,4,0,True,0,299950,4,2,2,hot,1,0.272263,528842752,3657072,112,460732784,460732784,1799730,0,45,299955,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,13,100000,300000,4,0,True,0,299925,4,4,2,hot,0,0.315914,34996224,3657016,56,460696704,460696704,1799586,0,69,299931,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,14,100000,300000,4,0,True,1,4419,4,1,2,uniform,0,0.159278,35504128,4116048,459088,154973760,154973760,584382,0,202603,97397,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,15,100000,300000,4,0,True,1,246570,4,1,2,hot,0,0.26021,35160064,4118288,461328,392218208,392218208,1527492,0,45418,254582,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,16,100000,300000,4,0,True,0,299916,4,4,2,hot,1,0.339441,528891904,3657016,56,460688048,460688048,1799550,0,75,299925,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,17,100000,300000,4,0,True,0,280168,4,4,4,uniform,1,0.244452,498024448,3656960,0,432000344,432000344,1681044,0,19826,280174,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,18,100000,300000,4,0,True,0,207879,4,4,8,uniform,0,0.248625,44154880,4322960,666000,328115760,328115760,1247310,0,92115,207885,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,19,100000,300000,4,0,True,1,1338,4,2,8,uniform,0,0.152348,37617664,5869360,2212400,49365880,49365880,170730,0,271545,28455,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,20,100000,300000,4,0,True,0,299918,4,1,2,hot,0,0.276124,34717696,3657016,56,460687880,460687880,1799550,0,75,299925,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,21,100000,300000,4,0,True,0,299689,4,4,8,hot,1,0.330293,528498688,3657560,600,460347984,460347984,1798164,0,306,299694,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,22,100000,300000,4,0,True,1,203798,4,2,4,hot,1,0.236288,381583360,4736376,1079416,322592632,322592632,1248540,0,91910,208090,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,23,100000,300000,4,0,True,1,2519,4,1,4,uniform,0,0.151619,35930112,4690304,1033344,91898632,91898632,336396,0,243934,56066,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
