run,order,records,updates,clients,wait_each,native_pipeline,local_probe,blocked_probes,pipeline_threads,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,retired_nodes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
1,0,100000,300000,4,0,True,1,130755,2,1,4,hot,0,0.136428,35553280,4746048,1089088,222956088,222956088,849042,0,158493,141507,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,1,100000,300000,4,0,True,1,4242,2,1,2,uniform,1,0.186098,200998912,4119800,462840,154872512,154872512,584004,0,202666,97334,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,2,100000,300000,4,0,True,1,100465,2,1,8,hot,0,0.179698,36503552,5902560,2245600,169307008,169307008,632868,0,194522,105478,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,3,100000,300000,4,0,True,1,4237,2,2,2,uniform,1,0.146397,201162752,4117280,460320,154952272,154952272,584316,0,202614,97386,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,4,100000,300000,4,0,True,1,0,2,4,0,hot,0,0.263129,36192256,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,5,100000,300000,4,0,True,0,299478,2,1,8,hot,1,0.294567,527892480,3662360,5400,460035896,460035896,1796916,0,514,299486,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,6,100000,300000,4,0,True,0,278966,2,2,4,uniform,0,0.207202,50429952,3825648,168688,430118216,430118216,1673826,0,21029,278971,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,7,100000,300000,4,0,True,1,1371,2,1,8,uniform,1,0.113203,89571328,5874360,2217400,49392512,49392512,170802,0,271533,28467,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,8,100000,300000,4,0,True,0,229141,2,2,8,uniform,1,0.200405,420888576,3897960,241000,359830728,359830728,1374888,0,70852,229148,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,9,100000,300000,4,0,True,0,299819,2,2,4,hot,0,0.264464,34750464,3657376,416,460541992,460541992,1798956,0,174,299826,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,10,100000,300000,4,0,True,0,299847,2,2,8,hot,1,0.227739,528580608,3657360,400,460576464,460576464,1799094,0,151,299849,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,11,100000,300000,4,0,True,1,77299,2,1,8,hot,1,0.12116,184172544,5914760,2257800,137319552,137319552,504942,0,215843,84157,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,12,100000,300000,4,0,True,0,299951,2,2,2,hot,1,0.255329,528711680,3657016,56,460731304,460731304,1799724,0,46,299954,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,13,100000,300000,4,0,True,0,299932,2,4,2,hot,0,0.265041,36732928,3657128,168,460707344,460707344,1799628,0,62,299938,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
