run,order,records,updates,clients,wait_each,native_pipeline,local_probe,blocked_probes,worker_fat,worker_appends,worker_materializations,pipeline_threads,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,retired_nodes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
1,0,100000,300000,4,0,True,1,110378,0,0,0,2,4,8,hot,0,0.186105,36618240,5899160,2242200,183199280,183199280,688830,0,185195,114805,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,1,100000,300000,4,0,True,1,2554,0,0,0,2,1,4,uniform,1,0.135973,133578752,4696232,1039272,91908032,91908032,336438,0,243927,56073,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,2,100000,300000,4,0,True,1,178214,1,103413,196587,2,4,2,hot,1,0.243688,362414080,4121592,464632,305235536,305235536,1179522,0,103413,196587,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,3,100000,300000,4,0,True,1,1322,0,0,0,2,1,8,uniform,1,0.112923,89358336,5886360,2229400,49223056,49223056,170226,0,271629,28371,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,4,100000,300000,4,0,True,1,1338,0,0,0,2,4,8,uniform,0,0.155493,37388288,5875560,2218600,49287088,49287088,170448,0,271592,28408,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,5,100000,300000,4,0,True,1,0,0,0,0,2,1,0,hot,0,0.298681,35962880,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,6,100000,300000,4,0,True,1,4401,0,0,0,2,2,2,uniform,0,0.147497,35700736,4118792,461832,154946688,154946688,584292,0,202618,97382,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,7,100000,300000,4,0,True,1,158258,1,118886,181114,2,1,2,hot,1,0.249905,337313792,4124896,467936,281966064,281966064,1086684,0,118886,181114,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,8,100000,300000,4,0,True,1,4333,0,0,0,2,1,2,uniform,1,0.157445,200982528,4119968,463008,154933424,154933424,584238,0,202627,97373,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,9,100000,300000,4,0,True,1,81119,0,0,0,2,1,8,hot,1,0.170041,189743104,5910360,2253400,142576288,142576288,525798,0,212367,87633,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,10,100000,300000,4,0,True,1,114525,0,0,0,2,2,8,hot,0,0.187451,36487168,5897760,2240800,189353024,189353024,713304,0,181116,118884,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,11,100000,300000,4,0,True,1,0,0,0,0,2,2,0,hot,0,0.271636,36814848,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,12,100000,300000,4,0,True,1,1314,1,271593,28407,2,4,8,uniform,1,0.171128,89538560,5879560,2222600,49285152,49285152,170442,0,271593,28407,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,13,100000,300000,4,0,True,1,205738,0,0,0,2,2,2,hot,0,0.237329,35225600,4120864,463904,339290056,339290056,1315650,0,80725,219275,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,14,100000,300000,4,0,True,1,1292,1,271605,28395,2,4,8,uniform,0,0.153109,37535744,5877560,2220600,49263920,49263920,170370,0,271605,28395,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,15,100000,300000,4,0,True,1,2726,0,0,0,2,2,4,uniform,1,0.125607,133742592,4694672,1037712,92038800,92038800,336948,0,243842,56158,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,16,100000,300000,4,0,True,1,80578,1,212766,87234,2,2,8,hot,1,0.190529,189071360,5908960,2252000,141901224,141901224,523404,0,212766,87234,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,17,100000,300000,4,0,True,1,94910,1,199648,100352,2,4,8,hot,1,0.193219,210255872,5902760,2245800,161584072,161584072,602112,0,199648,100352,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,18,100000,300000,4,0,True,1,132624,1,156795,143205,2,4,4,hot,1,0.231522,277151744,4745008,1088048,225458968,225458968,859230,0,156795,143205,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,19,100000,300000,4,0,True,1,1360,0,0,0,2,2,8,uniform,0,0.114558,38289408,5872560,2215600,49323744,49323744,170574,0,271571,28429,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,20,100000,300000,4,0,True,1,0,0,0,0,2,1,0,uniform,1,0.222126,528662528,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,21,100000,300000,4,0,True,1,168889,0,0,0,2,1,2,hot,1,0.215281,350339072,4122320,465360,294088336,294088336,1135014,0,110831,189169,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,22,100000,300000,4,0,True,1,1159,1,271676,28324,2,1,8,uniform,1,0.205404,89292800,5873360,2216400,49147064,49147064,169944,0,271676,28324,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,23,100000,300000,4,0,True,1,103140,1,191951,108049,2,4,8,hot,0,0.20363,36585472,5898760,2241800,173108064,173108064,648294,0,191951,108049,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,24,100000,300000,4,0,True,1,2429,1,243965,56035,2,4,4,uniform,1,0.186071,133595136,4695504,1038544,91840824,91840824,336210,0,243965,56035,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,25,100000,300000,4,0,True,1,4009,1,202776,97224,2,1,2,uniform,0,0.215284,35160064,4122040,465080,154702040,154702040,583344,0,202776,97224,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,26,100000,300000,4,0,True,1,0,0,0,0,2,1,0,hot,1,0.258027,528662528,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
