run,version,records,updates,clients,wait_each,native_pipeline,local_probe,blocked_probes,worker_fat,worker_appends,worker_materializations,pipeline_threads,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,retired_nodes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
1,after,100000,300000,4,0,True,1,2394,1,244015,55985,2,2,4,uniform,0,0.173927,35897344,4697064,1040104,91764648,91764648,335910,0,244015,55985,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,2462,1,243975,56025,2,2,4,uniform,0,0.172053,35848192,4695712,1038752,91830768,91830768,336150,0,243975,56025,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,4095,1,202728,97272,2,1,2,uniform,0,0.224041,35651584,4119688,462728,154777504,154777504,583632,0,202728,97272,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,4143,1,202719,97281,2,1,2,uniform,0,0.216562,35356672,4122152,465192,154791216,154791216,583686,0,202719,97281,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,88803,1,205304,94696,2,2,8,hot,0,0.20042,36487168,5905960,2249000,153140256,153140256,568176,0,205304,94696,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,88927,1,205150,94850,2,2,8,hot,0,0.202586,36470784,5909160,2252200,153373200,153373200,569100,0,205150,94850,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,2531,1,243890,56110,4,2,4,uniform,0,0.177563,36077568,4688328,1031368,91967360,91967360,336660,0,243890,56110,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,2484,1,243914,56086,4,2,4,uniform,0,0.177823,36028416,4692384,1035424,91928624,91928624,336516,0,243914,56086,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,187983,0,0,0,4,2,8,hot,0,0.250024,36700160,5876160,2219200,294800048,294800048,1137558,0,110407,189593,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,185426,0,0,0,4,2,8,hot,0,0.223756,36716544,5878560,2221600,291041720,291041720,1122570,0,112905,187095,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,188955,1,109434,190566,4,2,8,hot,0,0.225665,36847616,5875760,2218800,296288576,296288576,1143396,0,109434,190566,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,185804,1,112564,187436,4,2,8,hot,0,0.23086,36782080,5875760,2218800,291562696,291562696,1124616,0,112564,187436,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,1285,0,0,0,4,2,8,uniform,0,0.157649,37584896,5879560,2222600,49262520,49262520,170370,0,271605,28395,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,1382,0,0,0,4,2,8,uniform,0,0.119049,37552128,5873760,2216800,49349128,49349128,170688,0,271552,28448,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,200528,1,98125,201875,4,1,8,hot,0,0.260231,36536320,5875160,2218200,313146400,313146400,1211250,0,98125,201875,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,173381,1,124661,175339,4,1,8,hot,0,0.238525,36601856,5876760,2219800,273554104,273554104,1052034,0,124661,175339,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,2536,0,0,0,2,1,4,uniform,0,0.134837,35880960,4699456,1042496,91873856,91873856,336324,0,243946,56054,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,2457,0,0,0,2,1,4,uniform,0,0.137384,35848192,4692072,1035112,91800208,91800208,336042,0,243993,56007,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,4314,0,0,0,2,1,2,uniform,0,0.150819,35209216,4124280,467320,154835200,154835200,583860,0,202690,97310,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,4442,0,0,0,2,1,2,uniform,0,0.14229,35471360,4119464,462504,154929904,154929904,584226,0,202629,97371,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,0,0,0,0,4,1,0,uniform,0,0.249198,35045376,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,0,0,0,0,4,1,0,uniform,0,0.235244,42041344,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,0,0,0,0,2,2,0,hot,0,0.276274,34701312,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,0,0,0,0,2,2,0,hot,0,0.261563,34783232,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,1347,0,0,0,2,1,8,uniform,0,0.133207,37519360,5874160,2217200,49387648,49387648,170808,0,271532,28468,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,1336,0,0,0,2,1,8,uniform,0,0.124454,37371904,5872560,2215600,49359400,49359400,170700,0,271550,28450,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,142937,0,0,0,2,1,4,hot,0,0.23014,35438592,4746048,1089088,239187736,239187736,914106,0,147649,152351,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,141239,0,0,0,2,1,4,hot,0,0.217158,35438592,4743136,1086176,236951176,236951176,905094,0,149151,150849,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,158592,1,118711,181289,2,1,2,hot,0,0.293276,35012608,4123608,466648,282236880,282236880,1087734,0,118711,181289,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,158909,1,118526,181474,2,1,2,hot,0,0.275926,35258368,4122992,466032,282514040,282514040,1088844,0,118526,181474,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,201182,0,0,0,4,1,8,hot,0,0.24773,36585472,5871960,2215000,313986368,313986368,1214778,0,97537,202463,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,191567,0,0,0,4,1,8,hot,0,0.216298,36601856,5874760,2217800,300018560,300018560,1158510,0,106915,193085,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,4436,0,0,0,2,2,2,uniform,0,0.151329,35831808,4124672,467712,154892472,154892472,584094,0,202651,97349,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,4524,0,0,0,2,2,2,uniform,0,0.141123,35717120,4121648,464688,154917136,154917136,584184,0,202636,97364,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,0,0,0,0,4,1,0,hot,0,0.256298,34701312,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,0,0,0,0,4,1,0,hot,0,0.277217,34652160,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,71036,1,221260,78740,2,1,8,hot,0,0.216094,36405248,5912360,2255400,129070640,129070640,472440,0,221260,78740,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,72296,1,220056,79944,2,1,8,hot,0,0.232528,36667392,5909960,2253000,130908784,130908784,479664,0,220056,79944,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,4555,1,202584,97416,4,1,2,uniform,0,0.254335,35389440,4119632,462672,154998688,154998688,584496,0,202584,97416,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,4557,1,202580,97420,4,1,2,uniform,0,0.226312,35389440,4121144,464184,155002928,155002928,584520,0,202580,97420,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,222074,1,74587,225413,4,2,4,hot,0,0.246766,35815424,4733464,1076504,348460072,348460072,1352478,0,74587,225413,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,223209,1,73522,226478,4,2,4,hot,0,0.237439,36388864,4731696,1074736,350049632,350049632,1358868,0,73522,226478,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,1138,1,271677,28323,2,1,8,uniform,0,0.195864,37437440,5875360,2218400,49142928,49142928,169938,0,271677,28323,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,1162,1,271649,28351,2,1,8,uniform,0,0.204571,37191680,5876160,2219200,49190536,49190536,170106,0,271649,28351,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,4127,1,202700,97300,2,2,2,uniform,0,0.183032,35520512,4120528,463568,154818664,154818664,583800,0,202700,97300,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,4096,1,202756,97244,2,2,2,uniform,0,0.172473,35356672,4122096,465136,154734048,154734048,583464,0,202756,97244,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,137293,1,152646,147354,2,2,4,hot,0,0.224755,35569664,4745632,1088672,231707448,231707448,884124,0,152646,147354,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,138362,1,151758,148242,2,2,4,hot,0,0.224029,35848192,4743968,1087008,233030336,233030336,889452,0,151758,148242,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,225581,0,0,0,4,1,4,hot,0,0.251772,35700736,4730552,1073592,353424608,353424608,1372422,0,71263,228737,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,227303,0,0,0,4,1,4,hot,0,0.260262,35651584,4731904,1074944,355840832,355840832,1382148,0,69642,230358,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,118452,0,0,0,2,2,8,hot,0,0.186489,36470784,5897160,2240200,194913912,194913912,735852,0,177358,122642,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,108696,0,0,0,2,2,8,hot,0,0.180963,36536320,5900960,2244000,180950640,180950640,679740,0,186710,113290,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
