run,version,slots,worker,inserts,iterations,seconds,checksum,reference_ok
1,after,8,1,0,500000,0.023275833,1507503015,True
1,before,8,1,0,500000,0.0626245,1507503015,True
1,before,2,1,0,500000,0.042547458,1507503015,True
1,after,2,1,0,500000,0.016517291,1507503015,True
1,before,2,0,0,500000,0.028458333,1507503015,True
1,after,2,0,0,500000,0.012953291,1507503015,True
1,before,4,1,0,500000,0.046044959,1507503015,True
1,after,4,1,0,500000,0.018115458,1507503015,True
1,before,4,0,1,500000,0.039757083,1012502025,True
1,after,4,0,1,500000,0.0246585,1012502025,True
1,after,8,0,1,500000,0.02951275,1015002030,True
1,before,8,0,1,500000,0.054012083,1015002030,True
1,before,4,0,0,500000,0.035083709,1507503015,True
1,after,4,0,0,500000,0.014806458,1507503015,True
1,after,2,0,1,500000,0.021513625,1012002024,True
1,before,2,0,1,500000,0.033466875,1012002024,True
1,after,4,1,1,500000,0.035950333,1012502025,True
1,before,4,1,1,500000,0.05960825,1012502025,True
1,before,8,1,1,500000,0.085259084,1015002030,True
1,after,8,1,1,500000,0.051543667,1015002030,True
1,after,2,1,1,500000,0.0277985,1012002024,True
1,before,2,1,1,500000,0.05156525,1012002024,True
1,after,8,0,0,500000,0.016879834,1507503015,True
1,before,8,0,0,500000,0.051540833,1507503015,True
2,before,4,1,1,500000,0.059396542,1012502025,True
2,after,4,1,1,500000,0.035925541,1012502025,True
2,before,2,1,1,500000,0.050896959,1012002024,True
2,after,2,1,1,500000,0.027728291,1012002024,True
2,before,2,0,1,500000,0.034230792,1012002024,True
2,after,2,0,1,500000,0.022018875,1012002024,True
2,after,4,0,1,500000,0.02441275,1012502025,True
2,before,4,0,1,500000,0.040140666,1012502025,True
2,after,8,0,0,500000,0.01705075,1507503015,True
2,before,8,0,0,500000,0.051778125,1507503015,True
2,before,4,0,0,500000,0.035427917,1507503015,True
2,after,4,0,0,500000,0.014757916,1507503015,True
2,before,4,1,0,500000,0.047088667,1507503015,True
2,after,4,1,0,500000,0.018271875,1507503015,True
