dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,1,1,2,0.244561333,2,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,36302,36302,0,9583728,9583728,0,142856,17856,125000,65806,84313,40256272,3685136,103186432,103219200,0.051856417,0.174851792,0.000000458,0.226708667
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,1,2,4,0.236462833,4,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,588,588,0,159264,159264,0,142856,17856,125000,70259,99451,43878072,7306936,105414656,105447424,0.050163292,0.169280583,0.000000042,0.219443917
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,1,3,0,0.229768125,0,1,1,1000000,1000000,900129,0,99871,0,3494868358094118724,699006,699006,0,178945536,178945536,0,142857,17856,125001,0,0,36571392,0,100155392,100188160,0.049579250,0.160718417,0.000001167,0.210298834
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,1,4,8,0.259092458,8,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,0,0,0,0,0,0,142856,17856,125000,70328,99871,50636736,14065600,113147904,113180672,0.054688416,0.183585208,0.000000125,0.238273749
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,2,1,4,0.212835334,4,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,588,588,0,159264,159264,0,142856,17856,125000,70259,99451,43878072,7306936,105414656,105447424,0.049951000,0.145773042,0.000000083,0.195724125
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,2,2,8,0.212915208,8,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,0,0,0,0,0,0,142856,17856,125000,70328,99871,50636736,14065600,113147904,113180672,0.049158708,0.145313875,0.000000625,0.194473208
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,2,3,2,0.216684583,2,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,36302,36302,0,9583728,9583728,0,142856,17856,125000,65806,84313,40256272,3685136,103186432,103219200,0.049395542,0.148984666,0.000000209,0.198380417
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,2,4,0,0.251787000,0,1,1,1000000,1000000,900129,0,99871,0,600804321504766254,698791,698791,0,178890496,178890496,0,142860,17856,125004,0,0,36572160,0,100204544,100237312,0.052123375,0.178711334,0.000002291,0.230837000
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,3,1,8,0.248974666,8,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,0,0,0,0,0,0,142856,17856,125000,70328,99871,50636736,14065600,113147904,113180672,0.051024750,0.179282750,0.000000125,0.230307625
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,3,2,0,0.247222000,0,1,1,1000000,1000000,900129,0,99871,0,9168343327818330816,698888,698888,0,178915328,178915328,0,142859,17856,125003,0,0,36571904,0,100204544,100237312,0.052676125,0.176371667,0.000000333,0.229048125
