dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,1,1,2,0.655721209,2,1,1,10000000,100000,0,0,100000,0,6238072747940578789,784,784,0,206192,206192,0,1428570,178570,1250000,90195,99706,370764840,5050920,650723328,650723328,0.571981167,0.040202458,0.000030625,0.612214250
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,1,2,4,0.658271292,4,1,1,10000000,100000,0,0,100000,0,6238072747940578789,0,0,0,0,0,0,1428570,178570,1250000,90292,100000,375104288,9390368,654770176,654770176,0.572227541,0.039934833,0.000000167,0.612162541
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,1,3,0,0.722667916,0,1,1,10000000,100000,0,0,100000,0,6238072747940578789,800000,800000,0,204800000,204800000,0,1428570,178570,1250000,0,0,365713920,0,704004096,704004096,0.570340833,0.079760042,0.002937000,0.653037875
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,1,4,8,0.662751459,8,1,1,10000000,100000,0,0,100000,0,6238072747940578789,0,0,0,0,0,0,1428570,178570,1250000,90292,100000,383772320,18058400,657850368,657850368,0.576525750,0.038994834,0.000000166,0.615520750
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,1,1,4,0.344097167,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1018290,1018290,0,275811120,275811120,0,177742,17887,159855,115352,272650,57498560,11996608,131170304,131170304,0.049474042,0.270090750,0.000116875,0.319681667
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,1,2,8,0.288921083,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,326865,326865,0,93016440,93016440,0,189602,17907,171695,134476,579745,75433312,26895200,147128320,147128320,0.049061291,0.214468334,0.000098958,0.263628583
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,1,3,2,0.427304125,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1980496,1980496,0,522850944,522850944,0,189779,18084,171695,103647,151216,54387656,5804232,136036352,136036352,0.049314750,0.351557791,0.000289042,0.401161583
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,1,4,0,0.607232750,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,7000000,7000000,0,1792000000,1792000000,0,205437,18818,186619,0,0,52591872,0,176390144,176390144,0.049123250,0.521802750,0.000735959,0.571661959
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,1,1,8,0.287859292,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,356755,356755,0,101522280,101522280,0,142856,17856,125000,109350,541315,58441136,21870000,133939200,133939200,0.049027750,0.214918708,0.000106583,0.264053041
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,1,2,0,0.592116708,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,7000000,7000000,0,1792000000,1792000000,0,142856,17856,125000,0,0,36571136,0,161873920,161906688,0.049198709,0.508361458,0.000640333,0.558200500
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,1,3,4,0.349027417,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1050070,1050070,0,284418960,284418960,0,142856,17856,125000,100150,249950,46986736,10415600,123813888,123846656,0.049007334,0.277064625,0.000145166,0.326217125
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,1,4,2,0.424692708,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,2042817,2042817,0,539303688,539303688,0,142856,17856,125000,83106,124507,41225072,4653936,124895232,124928000,0.048942917,0.350743917,0.000526417,0.400213251
