dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,1,1,2,0.427224292,2,1,8,1000000,1000000,0,0,1000000,0,9564036445692039367,2042817,2042817,0,539303688,539303688,0,142856,17856,125000,83106,124507,41225072,4653936,125026304,125239296,0.048899125,0.353968209,0.000048166,0.402915500
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,1,2,4,0.347058125,4,1,8,1000000,1000000,0,0,1000000,0,9564036445692039367,1050070,1050070,0,284418960,284418960,0,142856,17856,125000,100150,249950,46986736,10415600,123682816,123895808,0.048956958,0.275733958,0.000024334,0.324715250
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,1,3,0,0.598949166,0,1,8,1000000,1000000,0,0,1000000,0,9564036445692039367,7000000,7000000,0,1792000000,1792000000,0,142856,17856,125000,0,0,36571136,0,161480704,161742848,0.048796333,0.515963667,0.000852459,0.565612459
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,1,4,8,0.289849625,8,1,8,1000000,1000000,0,0,1000000,0,9564036445692039367,356755,356755,0,101522280,101522280,0,142856,17856,125000,109350,541315,58441136,21870000,133873664,133922816,0.049146000,0.216441208,0.000106833,0.265694041
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,1,1,4,0.149120459,4,1,8,1000000,1000000,900129,0,99871,0,8094055258431419017,588,588,0,159264,159264,0,142856,17856,125000,70259,99451,43878072,7306936,105414656,105627648,0.048927958,0.084091125,0.000000208,0.133019291
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,1,2,8,0.155804417,8,1,8,1000000,1000000,900129,0,99871,0,8094055258431419017,0,0,0,0,0,0,142856,17856,125000,70328,99871,50636736,14065600,113147904,113344512,0.051069916,0.086926709,0.000000166,0.137996791
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,1,3,2,0.148930250,2,1,8,1000000,1000000,900129,0,99871,0,8094055258431419017,36302,36302,0,9583728,9583728,0,142856,17856,125000,65806,84313,40256272,3685136,103186432,103366656,0.049185917,0.082991375,0.000000208,0.132177500
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,1,4,0,0.137582709,0,1,8,1000000,1000000,900129,0,99871,0,8094055258431419017,699097,699097,0,178968832,178968832,0,142856,17856,125000,0,0,36571136,0,190840832,191004672,0.049097500,0.052921625,0.000923583,0.102942708
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,2,1,8,0.151339708,8,1,8,1000000,1000000,900129,0,99871,0,8094055258431419017,0,0,0,0,0,0,142856,17856,125000,70328,99871,50636736,14065600,113147904,113344512,0.049172584,0.084535291,0.000000209,0.133708084
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,2,2,0,0.135598750,0,1,8,1000000,1000000,900129,0,99871,0,8094055258431419017,699097,699097,0,178968832,178968832,0,142856,17856,125000,0,0,36571136,0,160694272,160694272,0.048996084,0.050378875,0.002062583,0.101437542
