dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,1,1,2,2.115138375,2,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,11375014,11375014,0,3003003696,3003003696,0,142856,17856,125000,83301,124994,41235992,4664856,220348416,220381184,0.050800958,2.004541084,0.000342916,2.055684958
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,1,2,4,1.729492041,4,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,6649328,6649328,0,1801017984,1801017984,0,142856,17856,125000,100080,250480,46979456,10408320,219136000,219168768,0.051348583,1.628936041,0.000198792,1.680483416
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,1,3,0,2.770005667,0,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,35000000,35000000,0,8960000000,8960000000,0,142856,17856,125000,0,0,36571136,0,259211264,259244032,0.050614916,2.660484250,0.000790458,2.711889624
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,1,4,8,1.521286625,8,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,3500077,3500077,0,996021912,996021912,0,142856,17856,125000,111143,499901,58799736,22228600,229769216,229801984,0.052723875,1.410717792,0.000134166,1.463575833
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,2,1,4,1.772738792,4,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,6649328,6649328,0,1801017984,1801017984,0,142856,17856,125000,100080,250480,46979456,10408320,219136000,219168768,0.048961833,1.676632625,0.000172791,1.725767249
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,2,2,8,1.470837666,8,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,3500077,3500077,0,996021912,996021912,0,142856,17856,125000,111143,499901,58799736,22228600,229769216,229801984,0.049809333,1.372501792,0.000091542,1.422402667
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,2,3,2,2.112652500,2,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,11375014,11375014,0,3003003696,3003003696,0,142856,17856,125000,83301,124994,41235992,4664856,220348416,220381184,0.051666167,2.011859959,0.000429500,2.063955626
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,2,4,0,2.682665625,0,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,35000000,35000000,0,8960000000,8960000000,0,142856,17856,125000,0,0,36571136,0,259342336,259375104,0.050810833,2.573728166,0.000922250,2.625461249
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,3,1,8,1.483264291,8,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,3500077,3500077,0,996021912,996021912,0,142856,17856,125000,111143,499901,58799736,22228600,229769216,229801984,0.049654875,1.386044125,0.000131709,1.435830709
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,3,2,0,2.612275792,0,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,35000000,35000000,0,8960000000,8960000000,0,142856,17856,125000,0,0,36571136,0,259735552,259768320,0.050712000,2.504725291,0.000611750,2.556049041
