run,tree,mode,returncode,workers,clients,gc,records,updates,workload,seconds,peak_rss_bytes,first_bad,mismatches
1,btree,latest,0,4,4,False,100000,300000,update,0.10459,104857600,18446744073709551615,0
1,btree,baseline,0,4,4,False,100000,300000,update,0.226067,497451008,18446744073709551615,0
1,btree,latest,0,2,4,False,100000,300000,update,0.0945214,104841216,18446744073709551615,0
1,btree,baseline,0,2,4,False,100000,300000,update,0.209793,497401856,18446744073709551615,0
1,btree,latest,0,1,4,False,100000,300000,update,0.0732123,104742912,18446744073709551615,0
1,btree,baseline,0,1,4,False,100000,300000,update,0.233079,497369088,18446744073709551615,0
1,btree,latest,0,4,4,False,100000,300000,insert,0.112928,104644608,18446744073709551615,0
1,btree,baseline,0,4,4,False,100000,300000,insert,0.218649,510410752,18446744073709551615,0
1,btree,latest,0,2,4,False,100000,300000,insert,0.0992331,104628224,18446744073709551615,0
1,btree,baseline,0,2,4,False,100000,300000,insert,0.207692,510263296,18446744073709551615,0
1,btree,latest,0,1,4,False,100000,300000,insert,0.0731284,104562688,18446744073709551615,0
1,btree,baseline,0,1,4,False,100000,300000,insert,0.226709,510246912,18446744073709551615,0
1,art,latest,0,4,4,False,100000,300000,update,0.0747328,191627264,18446744073709551615,0
1,art,baseline,0,4,4,False,100000,300000,update,0.118505,1652178944,18446744073709551615,0
1,art,latest,0,2,4,False,100000,300000,update,0.0605753,191381504,18446744073709551615,0
1,art,baseline,0,2,4,False,100000,300000,update,0.145336,1652047872,18446744073709551615,0
1,art,latest,0,1,4,False,100000,300000,update,0.0348449,191447040,18446744073709551615,0
1,art,baseline,0,1,4,False,100000,300000,update,0.2314,1651998720,18446744073709551615,0
1,art,latest,0,4,4,False,100000,300000,insert,0.116196,666632192,18446744073709551615,0
1,art,baseline,0,4,4,False,100000,300000,insert,0.124721,1587200000,18446744073709551615,0
1,art,latest,0,2,4,False,100000,300000,insert,0.107928,666337280,18446744073709551615,0
1,art,baseline,0,2,4,False,100000,300000,insert,0.118329,1587068928,18446744073709551615,0
1,art,latest,0,1,4,False,100000,300000,insert,0.0839734,666730496,18446744073709551615,0
1,art,baseline,0,1,4,False,100000,300000,insert,0.155427,1587003392,18446744073709551615,0
1,aert,latest,0,4,4,False,100000,300000,update,0.0676455,65175552,18446744073709551615,0
1,aert,baseline,0,4,4,False,100000,300000,update,0.0898775,385744896,18446744073709551615,0
1,aert,latest,0,2,4,False,100000,300000,update,0.0569651,65159168,18446744073709551615,0
1,aert,baseline,0,2,4,False,100000,300000,update,0.132846,385564672,18446744073709551615,0
1,aert,latest,0,1,4,False,100000,300000,update,0.0340967,65077248,18446744073709551615,0
1,aert,baseline,0,1,4,False,100000,300000,update,0.242218,385499136,18446744073709551615,0
1,aert,latest,0,4,4,False,100000,300000,insert,0.105434,198754304,18446744073709551615,0
1,aert,baseline,0,4,4,False,100000,300000,insert,0.0771577,430440448,18446744073709551615,0
1,aert,latest,0,2,4,False,100000,300000,insert,0.0963787,198705152,18446744073709551615,0
1,aert,baseline,0,2,4,False,100000,300000,insert,0.117163,430358528,18446744073709551615,0
1,aert,latest,0,1,4,False,100000,300000,insert,0.0713237,198524928,18446744073709551615,0
1,aert,baseline,0,1,4,False,100000,300000,insert,0.221605,430276608,18446744073709551615,0
1,betree,latest,0,4,4,False,100000,300000,update,0.104339,104988672,18446744073709551615,0
1,betree,baseline,0,4,4,False,100000,300000,update,0.0914011,497532928,18446744073709551615,0
1,betree,latest,0,2,4,False,100000,300000,update,0.0930606,104628224,18446744073709551615,0
1,betree,baseline,0,2,4,False,100000,300000,update,0.153529,497385472,18446744073709551615,0
1,betree,latest,0,1,4,False,100000,300000,update,0.071592,104890368,18446744073709551615,0
1,betree,baseline,0,1,4,False,100000,300000,update,0.149465,497369088,18446744073709551615,0
1,betree,latest,0,4,4,False,100000,300000,insert,0.115406,105938944,18446744073709551615,0
