arch,pipes,workers,workload,run,returncode,status,seconds,mismatches,peak_rss_bytes
native,3,1,update,1,-11,process_failure,,,
native,3,1,insert,1,-11,process_failure,,,
native,3,2,update,1,-11,process_failure,,,
native,3,2,insert,1,-11,process_failure,,,
native,3,4,update,1,-11,process_failure,,,
native,3,4,insert,1,-11,process_failure,,,
x86,1,2,insert,0,0,valid,0.581992,0,731611136
x86,3,2,update,0,3,incorrect,1.23977,87500,1748025344
x86,1,4,update,0,3,incorrect,3.62638,87500,2720260096
x86,3,2,insert,0,0,valid,1.939,0,3226472448
x86,3,8,update,0,3,incorrect,27.5101,87500,3349319680
x86,1,1,insert,0,0,valid,0.54178,0,551690240
x86,1,8,insert,0,0,valid,11.6728,0,3268055040
x86,3,1,update,0,3,incorrect,0.936552,87500,1302274048
x86,1,4,insert,0,0,valid,2.33193,0,3400830976
x86,1,8,update,0,3,incorrect,2.8693,87500,1306636288
x86,3,4,update,0,3,incorrect,1.77898,87500,2976837632
x86,1,1,update,0,3,incorrect,0.509187,87500,544133120
x86,3,8,insert,0,0,valid,40.9555,0,2036998144
x86,1,2,update,0,3,incorrect,0.585738,87500,831123456
x86,3,4,insert,0,0,valid,2.34854,0,3272232960
x86,3,1,insert,0,0,valid,1.99144,0,3222405120
x86,3,8,update,1,3,incorrect,29.5182,87500,3250089984
x86,3,2,insert,1,0,valid,2.13239,0,3252891648
x86,1,8,update,1,3,incorrect,5.85682,87500,3030986752
x86,3,1,insert,1,0,valid,2.13045,0,3308355584
x86,1,8,insert,1,0,valid,13.9019,0,3145269248
x86,3,2,update,1,3,incorrect,1.02962,87500,1181003776
x86,3,1,update,1,3,incorrect,2.33459,87500,3104956416
x86,3,4,update,1,3,incorrect,2.92332,87500,3138342912
x86,1,4,update,1,3,incorrect,2.19692,87500,3083567104
x86,1,2,update,1,3,incorrect,1.10432,87500,2301681664
x86,1,4,insert,1,0,valid,1.04218,0,1563279360
x86,1,1,update,1,3,incorrect,0.600867,87500,598929408
x86,3,4,insert,1,0,valid,1.65054,0,2919821312
x86,3,8,insert,1,timeout,timeout,,,
x86,1,1,insert,1,0,valid,0.557177,0,558870528
x86,1,2,insert,1,0,valid,0.484087,0,582193152
x86,1,4,update,2,3,incorrect,1.14867,87500,2447765504
x86,1,8,update,2,3,incorrect,4.51635,87500,1561018368
x86,3,4,insert,2,0,valid,1.08154,0,1459224576
x86,1,4,insert,2,0,valid,2.34575,0,3156545536
x86,1,8,insert,2,0,valid,11.8289,0,3150135296
x86,3,4,update,2,3,incorrect,1.374,87500,2178871296
x86,1,1,update,2,3,incorrect,0.483624,87500,511725568
x86,3,1,insert,2,0,valid,1.37946,0,2465095680
x86,3,2,update,2,3,incorrect,1.87991,87500,3272871936
x86,3,2,insert,2,0,valid,1.33618,0,2460053504
x86,1,2,insert,2,0,valid,0.569149,0,764366848
x86,1,2,update,2,3,incorrect,1.3452,87500,2799005696
x86,3,8,update,2,3,incorrect,26.2998,87500,3223785472
x86,1,1,insert,2,0,valid,0.568876,0,585236480
x86,3,1,update,2,3,incorrect,0.792488,87500,890314752
x86,3,8,insert,2,timeout,timeout,,,
x86,3,2,update,3,3,incorrect,1.20868,87500,1984212992
x86,1,8,insert,3,0,valid,9.65064,0,3323170816
x86,3,4,update,3,3,incorrect,1.85957,87500,3330596864
x86,1,4,insert,3,0,valid,0.864444,0,1405480960
x86,1,1,insert,3,0,valid,0.513778,0,603234304
x86,3,1,insert,3,0,valid,1.67458,0,3366051840
x86,1,8,update,3,3,incorrect,5.69586,87500,2783911936
x86,3,2,insert,3,0,valid,1.25037,0,2428964864
x86,3,4,insert,3,0,valid,1.59504,0,3124469760
x86,1,1,update,3,3,incorrect,0.610849,87500,603529216
x86,1,4,update,3,3,incorrect,1.83672,87500,3367682048
x86,1,2,update,3,3,incorrect,0.887838,87500,1420963840
x86,1,2,insert,3,0,valid,0.685456,0,1175244800
x86,3,8,update,3,3,incorrect,20.6046,87500,2893697024
x86,3,8,insert,3,timeout,timeout,,,
x86,3,1,update,3,3,incorrect,2.35141,87500,3400699904
